ID;BD_OBJETO_PRES
15401;Arrendamientos de Bienes Muebles                                                                    
15402;Arrendamientos de Bienes Inmuebles                                                                  
15403;Arrendamiento de Espacios Interiores o Exteriores y de Ofici                                        
15499;Arrendamiento de Bienes Diversos                                                                    
155;Garantías y Fianzas                                                                                 
15501;Garantías de Contratos de Obras                                                                     
15502;Garantías de Contratos Generales                                                                    
15503;Fianzas                                                                                             
156;Indemnizaciones y Valores no Reclamados                                                             
15601;Excedentes de Mercaderías Decomisadas o Abandonadas                                                 
15602;Compensaciones por Pérdidas o Daños de Bienes Muebles                                               
15603;Compensaciones Por Daños de Bienes Inmuebles                                                        
15699;Compensaciones Por Pérdidas o Daños de Bienes Diversos                                              
157;Otros Ingresos no Clasificados                                                                      
15701;Diferenciales Cambiarios                                                                            
15702;Primas de Seguros                                                                                   
15703;Rentabilidad de Cuentas Bancarias                                                                   
15799;Ingresos Diversos                                                                                   
158;Ingresos por Resoluciones Judiciales                                                                
15801;Efectivo o Equivalentes por Extención de Dominio                                                    
15802;Liquidación de Bienes Extinguidos producto de Actividades Ilícitas                                  
159;Débito Fiscal                                                                                       
15901;Débito Fiscal                                                                                       
16;TRANSFERENCIAS CORRIENTES                                                                           
161;Transferencias Corrientes de Aporte Fiscal                                                          
16101;Tesoro Público Nacional                                                                             
1610703;Tesoro Público Nacional                                                                             
1610800;Ministerio de Relaciones Exteriores                                                                 
162;Transferencias Corrientes del Sector Público                                                        
16201;Transferencias Corrientes del Sector Público                                                        
1620100;Organo Legislativo                                                                                  
1620200;Corte de Cuentas de la República                                                                    
1620300;Tribunal Supremo Electoral                                                                          
1620301;Registro Nacional de las Personas Naturales                                                         
1620400;Tribunal de Servicio Civil                                                                          
1620500;Presidencia de la República                                                                         
1620501;Instituto Nacional de los Deportes de El Salvador                                                   
1620502;Instituto Salvadoreño de Protección al  Menor                                                       
1620503;Administración Nacional de Telecomunicaciones                                                       
1620504;Instituto Salvadoreño para el Desarrollo de la Mujer                                                
1620505;Fondo de Inversión Social para el Desarrollo Local                                                  
1620551;Fondo Solidario para la Familia Microempresaria (FOSOFAMILIA)                                       
1620700;Ramo de Hacienda                                                                                    
1620701;Lotería Nacional de Beneficencia                                                                    
1620702;Instituto Nacional de Pensiones de los Empleados Públicos                                           
1620703;Tesoro Público Nacional                                                                             
1620704;Fondo Salvadoreño para Estudios de Preinversión                                                     
1620800;Ramo de Relaciones Exteriores                                                                       
1620900;Ramo de la Defensa Nacional                                                                         
1620901;Instituto de Previsón Social de la Fuerza Armada                                                    
1620902;Centro Farmacéutico de la Fuerza Armada                                                             
1620903;Universidad Militar de El Salvador                                                                  
1621600;Organo Judicial                                                                                     
1621601;Caja Mutual del Abogado de El Salvador                                                              
1621602;Consejo Nacional de la Judicatura                                                                   
1621700;Fiscalia General de la República                                                                    
1621800;Procuraduria General de la República                                                                
1621900;Procuraduria para la Defensa de los Derechos Humanos                                                
1622000;Ramo del Interior                                                                                   
1622002;Instituto Salvadoreño de Desarrollo Municipal                                                       
1622100;Ramo de Seguridad Pública                                                                           
1622101;Academia Nacional de Seguridad Pública                                                              
1622200;Ramo de Justicia                                                                                    
1622201;Centro Nacional de Registros                                                                        
1622202;Unidad Técnica Ejecutiva                                                                            
1622300;Ministerio de Gobernación                                                                           
1622400;Ramo de Seguridad Publica y Justicia                                                                
1622403;Consejo Nacional de Administración de Bienes                                                        
1623100;Ramo de Educación                                                                                   
1623101;Universidad de El Salvador                                                                          
1623102;Federación Salvadoreña de Futbol                                                                    
1623104;Fondo de Garantía para el Crédito Educativo                                                         
1623105;Caja Mutual de los Empleados del Ministerio de Educación                                            
1623106;ISNA                                                                                                
1623200;Ramo de Salud Pública y Asistencia Social                                                           
1623201;Hospital Nacional Rosales                                                                           
1623202;"Hospital Nacional ""Benjamín Bloom""                                                                  "
1623203;"Hospital Nacional de Maternidad ""Dr. Raúl Arguello Escolán""                                         "
1623204;"Hospital Nacional Psiquiátrico ""Dr. José Molina Martínez""                                           "
1623205;"Hospital Nacional Neumológico ""Dr. José Antonio Zaldaña""                                            "
1623206;"Hospital Nacional ""San Juan de Dios"", Santa Ana                                                     "
1623207;"Hospital Nacional  ""Francisco Menéndez"", Ahuachapan                                                 "
1623208;"Hospital Nacional ""San Juan de Dios"", Sonsonate                                                     "
1623209;"Hospital Nacional ""Dr. Luís Edmundo Vásquez"", Chalatenango                                          "
1623210;"Hospital nacional ""San Rafael"", Nueva San Salvador                                                  "
1623211;"Hospital Nacional ""Santa Gertrudis"", San Vicente                                                    "
1623212;"Hospital Nacional "" Santa Teresa"" , Zacatecoluca                                                    "
1623213;"Hospital Nacional ""San Juan de Dios"", San Miguel                                                    "
1623214;"Hospital Nacional ""San Pedro"", Usulután                                                             "
1623215;"Hospital Nacional ""Dr. Juan José Fernández"", Zacamil                                                "
1623216;Hospital Nacional de San Bartolo                                                                    
1623217;Hospital Nacional de Cojutepeque                                                                    
1623218;Hospital Nacional de La Unión                                                                       
1623219;Hospital Nacional de Ilobasco                                                                       
1623220;Hospital Nacional de Nueva Guadalupe                                                                
1623221;Hospital Nacional de Ciudad Barrios                                                                 
1623222;Hospital Nacional de Sensuntepeque                                                                  
1623223;Hospital Nacional de Chalchuapa                                                                     
1623224;Hospital Nacional de Metapán                                                                        
1623225;Hospital Nacional de San Francisco Gotera                                                           
1623226;Hospital Nacional de Santa Rosa de Lima                                                             
1623227;Hospital Nacional de Nueva Concepción                                                               
1623228;Hospital Nacional de Santiago de María                                                              
1623229;Hospital Nacional de Jiquilísco                                                                     
1623230;Hospital Nacional de Suchitoto                                                                      
1623231;Consejo Superior de Salud Pública                                                                   
1623232;Instituto Salvadoreño de Rehabilitación de Inválidos                                                
1623233;"Hogar de Ancianos ""Narcisa Castillo"", Santa Ana                                                     "
1623234;Cruz Roja Salvadoreña                                                                               
1623235;Fondo Solidario para la Salud                                                                       
1623300;Ramo de Trabajo y Previsión Social                                                                  
1623301;Instituto Salvadoreño de Fomento Cooperativo                                                        
1623302;Instituto Salvadoreño de Formación Profesional                                                      
1623303;Instituto Salvadoreño del Seguro Social                                                             
1623304;Fondo de Protección de Lisiados y Discapacitados                                                    
1623400;Ramo de Vivienda y Desarrollo Urbano                                                                
1623401;Fondo Nacional para la Vivienda Popular                                                             
1624100;Ramo de Economía                                                                                    
1624101;Comité Ejecutivo de la Feria Internacional de El Salvador                                           
1624102;Consejo Nacional de Ciencia y Tecnología                                                            
1624103;Consejo de Vigilancia de la Contaduría Pública y Auditoría                                          
1624104;Instituto Salvadoreño de Turísmo                                                                    
1624105;Consejo Salvadoreño del Café                                                                        
1624106;Comisión Ejecutiva Hidroeléctrica del Rio Lempa                                                     
1624107;Fondo de Financiamiento y Garantía para la Pequeña Empresa                                          
1624108;Corporación Salvadoreña de Turísmo                                                                  
1624109;Superintendencia General de Energía y Telecomunicaciones                                            
1624110;Superintendencia de Valores                                                                         
1624111;Superintendencia de Pensiones                                                                       
1624112;Corporación Salvadoreña de Inversiones                                                              
1624113;Instituto Nacional del Azúcar                                                                       
1624114;Centro Nacional de Registros                                                                        
1624147;Fondo de Emergencia del Café                                                                        
1624153;Fondo especial de los recursos provenientes de la privatización de ANTEL (FANTEL)                   
1624200;Ramo de Agricultura y Ganadería                                                                     
1624201;Instituto Salvadoreño de Transformación Agraria                                                     
1624202;Centro Nacional de Tecnología Agropecuaria y Forestal                                               
1624203;Escuela Nacional de Agricultura                                                                     
1624204;Banco de Tierras                                                                                    
1624300;Ramo de Obras Públicas                                                                              
1624301;Administración Nacional de Acueductos y Alcantarillados                                             
1624302;Fondo Social para la Vivienda                                                                       
1624303;Comisión Ejecutiva Portuaria Autónoma                                                               
1624304;Autoridad de Aviación Civil                                                                         
1624305;Fondo Nacional para la Vivienda Popular                                                             
1624307;Autoridad Maritima Portuaria
1624400;Ramo de Medio Ambiente y Recursos Naturales                                                         
1624401;Fondo Ambiental de El Salvador                                                                      
1624500;Ramo de Transporte                                                                                  
1624600;Ramo de Turismo                                                                                     
163;Transferencias Corrientes del Sector Privado                                                        
16301;De Empresas Privadas no Financieras                                                                 
16302;De Empresas Privadas Financieras                                                                    
16303;De Organismos  sin Fines de Lucro                                                                   
16304;De Personas Naturales                                                                               
164;Transferencias Corrientes del Sector Externo                                                        
16401;De Empresas Privadas no Financieras                                                                 
16402;De Empresas Privadas Financieras                                                                    
16403;De Gobiernos y Organismos Gubernamentales                                                           
16404;De Organismos Multilaterales                                                                        
16405;De Organismos sin Fines de Lucro                                                                    
16406;De Personas Naturales                                                                               
165;Otras Transferencias Corrientes del Sector Público                                                  
16599;Transferencias Corrientes Diversas del Sector Público                                               
21;VENTA DE ACTIVOS FIJOS                                                                              
211;Venta de Bienes Muebles                                                                             
21101;Venta de Mobiliarios                                                                                
21102;Venta de Maquinarias y Equipos                                                                      
21103;Venta de Equipos Médicos y de Laboratorios                                                          
21104;Venta de Equipos Informáticos                                                                       
21105;Venta de Vehículos de Transporte                                                                    
21106;Venta de Obras de Arte y Culturales                                                                 
21107;Venta de Libros y Colecciones                                                                       
21199;Venta de Otros Bienes Muebles                                                                       
212;Venta de Bienes Inmuebles                                                                           
21201;Venta de Terrenos                                                                                   
21202;Venta de Edificios e Instalaciones                                                                  
21299;Venta de Otros Bienes Inmuebles                                                                     
213;Venta de Semovientes                                                                                
21301;Venta de Ganado Vacuno                                                                              
21302;Venta de Ganado Caballar                                                                            
21303;Venta de Ganado Porcino                                                                             
21399;Venta de Otros Semovientes                                                                          
214;Venta de Intangibles                                                                                
21401;Venta de Derechos de Propiedad Industrial                                                           
21402;Venta de Derechos de Propiedad Comercial                                                            
21403;Venta de Derechos de Propiedad Intelectual                                                          
21499;Venta de Otros Derechos Intangibles                                                                 
219;Débito Fiscal                                                                                       
21901;Débito Fiscal                                                                                       
22;TRANSFERENCIAS DE CAPITAL                                                                           
221;Transferencias de Capital de Aporte Fiscal                                                          
22101;Tesoro Público Nacional                                                                             
22107;Tesoro Público Nacional
2210703;Tesoro Público Nacional                                                                             
2210800;Ministerio de Relaciones Exteriores                                                                 
222;Transferencias de Capital del Sector Público                                                        
22201;Transferencias de Capital del Sector Público                                                        
2220100;Organo Legislativo                                                                                  
2220200;Corte de Cuentas de la República                                                                    
2220300;Tribunal Supremo Electoral                                                                          
2220301;Registro Nacional de las Personas Naturales                                                         
2220400;Tribunal de Servicio Civil                                                                          
2220500;Presidencia de la República                                                                         
2220501;Instituto Nacional de los Deportes de El Salvador                                                   
2220502;Instituto Salvadoreño de Protección al  Menor                                                       
2220503;Administración Nacional de Telecomunicaciones                                                       
2220504;Instituto Salvadoreño para el Desarrollo de la Mujer                                                
2220505;Fondo de Inversión Social para el Desarrollo Local                                                  
2220506;Fondo Especial de los Recursos Provenientes de la Privatización de ANTEL                            
2220700;Ramo de Hacienda                                                                                    
2220701;Lotería Nacional de Beneficencia                                                                    
2220702;Instituto Nacional de Pensiones de los Empleados Públicos                                           
2220703;Tesoro Público Nacional                                                                             
2220704;Fondo Salvadoreño para Estudios de Preinversión                                                     
2220800;Ramo de Relaciones Exteriores                                                                       
2220900;Ramo de la Defensa Nacional                                                                         
2220901;Instituto de Previsón Social de la Fuerza Armada                                                    
2220902;Centro Farmacéutico de la Fuerza Armada                                                             
2220903;Universidad Militar de El Salvador                                                                  
2221600;Organo Judicial                                                                                     
2221601;Caja Mutual del Abogado de El Salvador                                                              
2221602;Consejo Nacional de la Judicatura                                                                   
2221700;Fiscalia General de la República                                                                    
2221800;Procuraduria General de la República                                                                
2221900;Procuraduria para la Defensa de los Derechos Humanos                                                
2222000;Ramo del Interior                                                                                   
2222002;Instituto Salvadoreño de Desarrollo Municipal                                                       
2222100;Ramo de Seguridad Pública                                                                           
2222101;Academia Nacional de Seguridad Pública                                                              
2222200;Ramo de Justicia                                                                                    
2222201;Centro Nacional de Registros                                                                        
2222202;Unidad Técnica Ejecutiva                                                                            
2222300;Ramo de Gobernación                                                                                 
2222400;Ramo de Seguridad Publica y Justicia                                                                
2223100;Ramo de Educación                                                                                   
2223101;Universidad de El Salvador                                                                          
2223102;Federación Salvadoreña de Futbol                                                                    
2223104;Fondo de Garantía para el Crédito Educativo                                                         
2223105;Caja Mutual de los Empleados del Ministerio de Educación                                            
2223200;Ramo de Salud Pública y Asistencia Social                                                           
2223201;Hospital Nacional Rosales                                                                           
2223202;"Hospital Nacional ""Benjamín Bloom""                                                                  "
2223203;"Hospital Nacional de Maternidad ""Dr. Raúl Arguello Escolán""                                         "
2223204;"Hospital Nacional Psiquiátrico ""Dr. José Molina Martínez""                                           "
2223205;"Hospital Nacional Neumológico ""Dr. José Antonio Zaldaña""                                            "
2223206;"Hospital Nacional ""San Juan de Dios"", Santa Ana                                                     "
2223207;"Hospital Nacional  ""Francisco Menéndez"", Ahuachapan                                                 "
2223208;"Hospital Nacional ""San Juan de Dios"", Sonsonate                                                     "
2223209;"Hospital Nacional ""Dr. Luís Edmundo Vásquez"", Chalatenango                                          "
2223210;"Hospital nacional ""San Rafael"", Nueva San Salvador                                                  "
2223211;"Hospital Nacional ""Santa Gertrudis"", San Vicente                                                    "
2223212;"Hospital Nacional "" Santa Teresa"" , Zacatecoluca                                                    "
2223213;"Hospital Nacional ""San Juan de Dios"", San Miguel                                                    "
2223214;"Hospital Nacional ""San Pedro"", Usulután                                                             "
2223215;"Hospital Nacional ""Dr. Juan José Fernández"", Zacamil                                                "
2223216;Hospital Nacional de San Bartolo                                                                    
2223217;Hospital Nacional de Cojutepeque                                                                    
2223218;Hospital Nacional de La Unión                                                                       
2223219;Hospital Nacional de Ilobasco                                                                       
2223220;Hospital Nacional de Nueva Guadalupe                                                                
2223221;Hospital Nacional de Ciudad Barrios                                                                 
2223222;Hospital Nacional de Sensuntepeque                                                                  
2223223;Hospital Nacional de Chalchuapa                                                                     
2223224;Hospital Nacional de Metapán                                                                        
2223225;Hospital Nacional de San Francisco Gotera                                                           
2223226;Hospital Nacional de Santa Rosa de Lima                                                             
2223227;Hospital Nacional de Nueva Concepción                                                               
2223228;Hospital Nacional de Santiago de María                                                              
2223229;Hospital Nacional de Jiquilísco                                                                     
2223230;Hospital Nacional de Suchitoto                                                                      
2223231;Consejo Superior de Salud Pública                                                                   
2223232;Instituto Salvadoreño de Rehabilitación de Inválidos                                                
2223233;"Hogar de Ancianos ""Narcisa Castillo"", Santa Ana                                                     "
2223234;Cruz Roja Salvadoreña                                                                               
2223300;Ramo de Trabajo y Previsión Social                                                                  
2223301;Instituto Salvadoreño de Fomento Cooperativo                                                        
2223302;Instituto Salvadoreño de Formación Profesional                                                      
2223303;Instituto Salvadoreño del Seguro Social                                                             
2223304;Fondo de Protección de Lisiados y Discapacitados                                                    
2223400;Ramo de Vivienda y Desarrollo Urbano                                                                
2223401;Fondo Nacional para la Vivienda Popular                                                             
2224100;Ramo de Economía                                                                                    
2224101;Comité Ejecutivo de la Feria Internacional de El Salvador                                           
2224102;Consejo Nacional de Ciencia y Tecnología                                                            
2224103;Consejo de Vigilancia de la Contaduría Pública y Auditoría                                          
2224104;Instituto Salvadoreño de Turísmo                                                                    
2224105;Consejo Salvadoreño del Café                                                                        
2224106;Comisión Ejecutiva Hidroeléctrica del Rio Lempa                                                     
2224107;Fondo de Financiamiento y Garantía para la Pequeña Empresa                                          
2224108;Corporación Salvadoreña de Turísmo                                                                  
2224109;Superintendencia General de Energía y Telecomunicaciones                                            
2224110;Superintendencia de Valores                                                                         
2224111;Superintendencia de Pensiones                                                                       
2224112;Corporación Salvadoreña de Inversiones                                                              
2224113;Instituto Nacional del Azúcar                                                                       
2224200;Ramo de Agricultura y Ganadería                                                                     
2224201;Instituto Salvadoreño de Transformación Agraria                                                     
2224202;Centro Nacional de Tecnología Agropecuaria y Forestal                                               
2224203;Escuela Nacional de Agricultura                                                                     
2224204;Banco de Tierras                                                                                    
2224300;Ramo de Obras Públicas                                                                              
2224301;Administración Nacional de Acueductos y Alcantarillados                                             
2224302;Fondo Social para la Vivienda                                                                       
2224303;Comisión Ejecutiva Portuaria Autónoma                                                               
2224400;Ramo de Medio Ambiente y Recursos Naturales                                                         
2224401;Fondo Ambiental de El Salvador                                                                      
2224500;Ramo de Transporte                                                                                  
2224600;Ramo de Turismo                                                                                     
223;Transferencias de Capital del Sector Privado                                                        
22301;De Empresas Privadas no Financieras                                                                 
22302;De Empresas Privadas Financieras                                                                    
22303;De Organismos sin Fines de Lucro                                                                    
22304;De Personas Naturales                                                                               
224;Transferencias de Capital del Sector Externo                                                        
22401;De Empresas Privadas no Financieras                                                                 
22402;De Empresas Privadas Financieras                                                                    
22403;De Gobiernos y Organismos Gubernamentales                                                           
22404;De Organismos Multilaterales                                                                        
22405;De Organismos sin Fines de Lucro                                                                    
22406;De Personas Naturales                                                                               
225;Otras Transferencias de Capital                                                                     
22501;Transferencias de Capital Diversas                                                                  
22599;Transferencias de Capital Diversas del Sector Público                                               
23;RECUPERACION DE INVERSIONES FINANCIERAS                                                             
231;Recuperación de Inversiones en Titulosvalores                                                       
23101;Liquidación de Bonos                                                                                
23102;Liquidación de Letras del Tesoro                                                                    
23103;Liquidación de Notas de Crédito del Tesoro Público                                                  
23104;Liquidación de Cédulas Hipotecarias                                                                 
23105;Liquidación de Depósito a Plazo                                                                     
23106;Venta de Acciones                                                                                   
23107;Liquidación de Participación de Capital                                                             
23108;Liquidación de Titulosvalores en el Exterior                                                        
23109;Acciones y Participación de Capital en el Exterior                                                  
23199;Liquidación de Otros Titulosvalores                                                                 
232;Recuperación de Préstamos                                                                           
23201;Al Gobierno Central                                                                                 
23202;A Instituciones Descentralizadas no Empresariales                                                   
23203;A Empresas Públicas no Financieras                                                                  
23204;A Empresas Públicas Financieras                                                                     
23205;A Instituciones de Seguridad Social                                                                 
23206;A Municipalidades                                                                                   
23207;A Empresas Privadas no Financieras                                                                  
23208;A Empresas Privadas Financieras                                                                     
23209;A Organismos sin Fines de Lucro                                                                     
23210;A Personas Naturales                                                                                
31;ENDEUDAMIENTO PUBLICO                                                                               
311;Colocaciones de Titulosvalores en el Mercado Nacional                                               
31101;Bonos del Estado                                                                                    
31103;Notas de Crédito del Tesoro Público                                                                 
31199;Titulosvalores Diversos                                                                             
312;Colocaciones de Titulosvalores en el Mercado Externo                                                
31201;Bonos del Estado                                                                                    
31299;Titulosvalores Diversos                                                                             
313;Contratacion de Empréstitos Internos                                                                
31301;De Gobierno Central                                                                                 
31302;De Instituciones Descentralizadas no Empresariales                                                  
31303;De Empresas Públicas no Financieras                                                                 
31304;De Empresas Públicas Financieras                                                                    
31305;De Instituciones de Seguridad Social                                                                
31306;De Municipalidades                                                                                  
31307;De Empresas Privadas no Financieras                                                                 
31308;De Empresas Privadas Financieras                                                                    
31309;De Organismos Sin Fines de Lucro                                                                    
31310;De Personas Naturales                                                                               
314;Contratacion de Empréstitos Externos                                                                
31401;De Empresas Privadas no Financieras                                                                 
31402;De Empresas Privadas Financieras                                                                    
31403;De Gobiernos y Organismos Gubernamentales                                                           
31404;De Organismos Multilaterales                                                                        
31405;De Organismos Sin Fines de Lucro                                                                    
31406;De Personas Naturales                                                                               
32;SALDOS AÑOS ANTERIORES                                                                              
321;Saldos Iniciales de Caja y Banco                                                                    
32101;Saldo Inicial en Caja                                                                               
32102;Saldo Inical en Banco                                                                               
322;Cuentas por Cobrar de Años Anteriores                                                               
32201;Cuentas por Cobrar de Años Anteriores.                                                              
41;Ingreso por Contribuciones Especiales                                                               
411;Contribuciones a Productos Especiales                                                               
41101;Contribución Especial Sobre Diesel y Gasolina                                                       
41102;Contribuciones por Libra de Azúcar Extraida                                                         
41103;Contribuciones Sobre Bebidas Alcohólicas, Tabaco y Armas                                            
41104;Contribución Especial para la Promoción Turística                                                   
41105;Contrib. Especial p/ Estabilización de Tarif. Serv. Púb.de Transp. Colec. Pasajeros                 
41106;Contribución Especial para la Atención a Víctimas de Acciden                                        
41107;Contribución Especial para la Seguridad Ciudadana y Convivencia                                     
41108;Contribución Especial a los Grandes Contribuyentes para el Plan de Seguridad Ciudadana              
51;Remuneraciones                                                                                      
511;Remuneraciones Permanentes                                                                          
51101;Sueldos                                                                                             
51102;Salarios por Jornal                                                                                 
51103;Aguinaldos                                                                                          
51104;Sobresueldos                                                                                        
51105;Dietas                                                                                              
51106;Complementos                                                                                        
51107;Beneficios Adicionales                                                                              
512;Remuneraciones Eventuales                                                                           
