year,office,program,program_name
2007,1600,1,Dirección y Administración Institucional
2007,1600,2,Medicina Legal
2007,1600,3,Administración de Justicia
2007,1600,4,Infraestructura Física
2007,1600,5,Modernización del Organo Judicial
2007,1600,99,UNIDAD PRESUPUESTARIA SIN EJECUCION
2007,1700,1,Dirección y Administración Institucional
2007,1700,2,Defensa de los Intereses de la Sociedad
2007,1700,3,Defensa de los Intereses del Estado
2007,1700,4,Apoyo al Desarrollo Institucional
2007,1800,1,Dirección y Administración Institucional
2007,1800,2,Asistencia  Legal   y   Psico-Social
2007,1800,3,Apoyo al desarrollo Institucional
2007,1800,4,Infraestructura  Física
2007,1900,1,Dirección y Administración Institucional
2007,1900,2,"Defensa, Protección, Vigilancia y Educación de los Derechos Humanos"
2007,2300,1,Dirección y Administración Institucional
2007,2300,2,Seguridad Ciudadana
2007,2300,3,Gobernación
2007,2300,4,Justicia
2007,2300,5,Servicios de Seguridad Pública
2007,2300,6,Servicios de Reclusión y Readaptación
2007,2300,7,Apoyo a Instituciones Adscritas y Otras Entidades
2007,2300,8,Infraestructura Policial
2007,2300,9,Infraestructura Policial
2007,2301,1,Dirección y Administración Institucional
2007,2301,2,Formación de Miembros para la Seguridad Pública
2007,2301,3,Infraestructura Física
2007,2302,1,Dirección y Administración Institucional
2007,2302,2,Apoyo Sectorial
2007,2303,1,Dirección y  Administración Institucional
2007,2303,2,"Gestión Financiera, Capacitación y  Asistencia Técnica a  Municipalidades"
2007,2303,3,Crédito a Municipalidades
2007,2303,4,Servicio de la Deuda
2007,2400,1,Dirección y Administración Institucional
2007,2400,2,"Prevención, Participación y Reinserción Social"
2007,2400,3,Justicia e Iniciativas Legislativas
2007,2400,4,Registro y Control Migratorio
2007,2400,5,Seguridad Pública
2007,2400,6,Inspectoría Policial
2007,2400,7,Administración del Sistema Penitenciario
2007,2400,8,Apoyo a Instituciones Adcritas y Otras Entidades
2007,2400,9,Infraestructura Policial
2007,2400,10,Infraestructura Penitenciaria
2007,2400,11,Paz Social Y Seguridad Ciudadana
2007,2401,1,Dirección y Administración Institucional
2007,2401,2,Formación de Miembros para la Seguridad Pública
2007,2401,3,Infraestructura Física
2007,2401,4,"Construcción, Remodelación, Equipamiento y Fortalecimiento Operativo Institucional"
2007,2402,1,Dirección y Administración Institucional
2007,2402,2,Apoyo Sectorial
2007,3100,1,Dirección y Administración Institucional
2007,3100,2,Educación  Parvularia
2007,3100,3,Educación Básica
2007,3100,4,Educación  Media
2007,3100,5,Educación No Formal
2007,3100,6,Apoyo a Instituciones Adscritas y Otras Entidades
2007,3100,7,"Programas de Inversión para el Logro de Competitividad, Equidad e Innovación en la Educación"
2007,3100,8,"Fortalecimiento del Acceso,  Calidad y Equidad de la Educación"
2007,3100,9,Concultura
2007,3100,10,Infraestructura Cultural
2007,3100,11,Bienestar Magisterial
2007,3100,12,Apoyo al P lan Nacional de Educación
2007,3101,1,Dirección y Administración Institucional
2007,3101,2,Apoyo al Servicio Académico
2007,3101,3,Enseñanza Superior Universitaria
2007,3101,4,Desarrollo de la Infraestructura Universitaria
2007,3101,5,Desarrollo de la Investigación Universitaria
2007,3101,6,Asamblea General Universitaria
2007,3102,1,Apoyo y Coordinación del Fútbol
2007,3106,1,Dirección y Administración Institucional
2007,3106,2,Protección y Atención a la Niñez y Adolescencia
2007,3106,3,Inversión Institucional
2007,3200,1,Dirección y Administración Institucional
2007,3200,2,Primer Nivel de Atención
2007,3200,3,Apoyo a Instituciones Adscritas y Otras Entidades
2007,3200,4,Desarrollo de la Inversión
2007,3201,1,Dirección y Administración Institucional
2007,3201,2,Servicios Integrales en Salud
2007,3202,1,Dirección y Administración Institucional
2007,3202,2,Servicios Integrales en Salud
2007,3203,1,Dirección y Administración Institucional
2007,3203,2,Servicios Integrales en Salud
2007,3204,1,Dirección y Administración Institucional
2007,3204,2,Servicios Integrales en Salud
2007,3204,3,"Promoción, Fomento, Restauración de la Salud y Saneamiento Ambiental"
2007,3205,1,Dirección y Administración Institucional
2007,3205,2,Servicios Integrales en Salud
2007,3205,3,"Promoción, Fomento, Restauración de la Salud y Saneamiento Ambiental"
2007,3206,1,Dirección y Administración Institucional
2007,3206,2,Servicios Integrales en Salud
2007,3207,1,Dirección y Administración Institucional
2007,3207,2,Servicios Integrales en Salud
2007,3207,3,"Promoción, Fomento, Restauración de la Salud y Saneamiento Ambiental"
2007,3208,1,Dirección y Administración Institucional
2007,3208,2,Servicios Integrales en Salud
2007,3208,3,"Promoción, Fomento, Restauración de la Salud y Saneamiento  Ambiental"
2007,3209,1,Dirección y Administración Institucional
2007,3209,2,Servicios Integrales en Salud
2007,3210,1,Dirección y Administración Institucional
2007,3210,2,Servicios  Integrales en Salud
2007,3210,3,"Promoción, Fomento, Restauración de la Salud y Saneamiento Ambiental"
2007,3211,1,Dirección y Administración Institucional
2007,3211,2,Servicios Integrales en Salud
2007,3211,3,"Promoción, Fomento, Restauración de la Salud y Saneamiento Ambiental"
2007,3212,1,Dirección y Administración Institucional
2007,3212,2,Servicios Integrales en Salud
2007,3212,3,"Promoción, Fomento, Restauración de la Salud y Saneamiento Ambiental"
2007,3213,1,Dirección y Administración Institucional
2007,3213,2,Servicios Integrales en Salud
2007,3213,3,"Promoción, Fomento, Restauración de la Salud y Saneamiento Ambiental"
2007,3214,1,Dirección y Administración Institucional
2007,3214,2,Servicios Integrales en  Salud
2007,3214,3,"Promoción, Fomento, Restauración de la Salud y Saneamiento Ambiental"
2007,3215,1,Dirección y Administración Institucional
2007,3215,2,Servicios Integrales en Salud
2007,3215,3,"Promoción, Fomento, Restauración de la Salud y Saneamiento Ambiental"
2007,3216,1,Dirección y Administración Institucional
2007,3216,2,Servicios Integrales en Salud
2007,3216,3,"Promoción, Fomento, Restauración de la Salud y Saneamiento Ambiental"
2007,3217,1,Dirección y Administración Institucional
2007,3217,2,Servicios Integrales en Salud
2007,3217,3,"Promoción, Fomento, Restauración de la Salud y Saneamiento Ambiental"
2007,3218,1,Dirección y Administración Institucional
2007,3218,2,Servicios Integrales en Salud
2007,3219,1,Dirección y Administración Institucional
2007,3219,2,Servicios Integrales en Salud
2007,3219,3,"Promoción, Fomento, Restauración de la Salud y Saneamiento Ambiental"
2007,3220,1,Dirección y Administración Institucional
2007,3220,2,Servicios Integrales en Salud
2007,3220,3,"Promoción, Fomento, Restauración de la Salud y Saneamiento Ambiental"
2007,3221,1,Dirección y Administración Institucional
2007,3221,2,Servicios Integrales en Salud
2007,3221,3,"Promoción, Fomento, Restauración de la Salud y Saneamiento Ambiental"
2007,3222,1,Dirección Administración Institucional
2007,3222,2,Servicios Integrales en Salud
2007,3222,3,"Promoción, Fomento, Restauración de la Salud y Saneamiento Ambiental"
2007,3223,1,Dirección y Administración Institucional
2007,3223,2,Servicios Integrales en Salud
2007,3223,3,"Promoción, Fomento, Restauración de la Salud y Saneamiento Ambiental"
2007,3224,1,Dirección y Administración Institucional
2007,3224,2,Servicios Integrales en Salud
2007,3224,3,"Promoción, Fomento,  Restauración de la Salud y Saneamiento Ambiental"
2007,3225,1,Dirección y Administración Institucional
2007,3225,2,Servicios Integrales en Salud
2007,3225,3,"Promoción, Fomento, Restauración de la Salud y Saneamiento Ambiental"
2007,3226,1,Dirección y Administración Institucional
2007,3226,2,Servicios Integrales en Salud
2007,3226,3,"Promoción, Fomento, Restauración de la Salud y Saneamiento Ambiental."
2007,3227,1,Dirección y Administración Institucional
2007,3227,2,Servicios Integrales en Salud
2007,3227,3,"Promoción, Fomento, Restauración de la Salud y Saneamiento Ambiental"
2007,3228,1,Dirección y Administración Institucional
2007,3228,2,Servicios Integrales en Salud
2007,3228,3,"Promoción, Fomento, Restauración de la Salud y Saneamiento Ambiental"
2007,3229,1,Dirección y Administración Institucional
2007,3229,2,Servicios Integrales en Salud
2007,3229,3,"Promoción, Fomento, Restauración de la Salud y Sanemiento Ambiental"
2007,3230,1,Dirección y Administración Institucional
2007,3230,2,Servicios Integrales en Salud
2007,3230,3,"Promoción, Fomento, Restauración de la Salud  y Saneamiento  Ambiental"
2007,3231,1,Dirección y Administración Institucional
2007,3231,2,Vigilancia de los Servicios de Salud
2007,3231,3,Infraestructura Física
2007,3232,1,Dirección y Administración Institucional
2007,3232,2,Servicios Integrales en Salud
2007,3233,1,Atención Integral al Anciano Indigente
2007,3234,1,Dirección y  Administración Institucional
2007,3234,2,Servicios de Primeros Auxilios de Salud
2007,3235,1,Dirección y Administración Institucional
2007,3235,2,Gestión de Programas Especiales e Integrales de Salud
2007,3300,1,Dirección y Administración Institucional
2007,3300,2,Servicios Laborales
2007,3300,3,Apoyo a Instituciones Adscritas y Otras Entidades
2007,3300,4,Infraestructura Física
2007,3301,1,Fortalecimiento Cooperativo
2007,3302,1,Dirección y Administración Institucional
2007,3302,2,Formación Profesional
2007,3302,3,Desarrollo Tecnológico
2007,3303,1,Dirección y Administración Institucional
2007,3303,2,Coordinación y Administración Región Occidental
2007,3303,3,Coordinación y Administración Región Oriental
2007,3303,4,Atención Ambulatoria de Salud
2007,3303,5,Atención Hospitalaria de Salud
2007,3303,6,Atención Hospitalaria Roma
2007,3303,7,Atención Hospitalaria Amatepec
2007,3303,8,Atención Hospitalaria Médico Quirúrgico
2007,3303,9,Atención Hospitalaria 1º de Mayo
2007,3303,10,Atención Hospitalaria General
2007,3303,11,Prestaciones Económicas
2007,3303,12,Preinversión
2007,3303,13,Desarrollo de la Infraestructura
2007,3303,14,Inversión Financiera
2007,3303,15,Unidad de Pensiones
2007,3303,99,Inversiones Financieras
2007,3304,1,Dirección y Administración Institucional
2007,3304,2,Rehabilitación a Beneficiarios
2007,4100,1,Dirección y Administración Institucional
2007,4100,2,Política Comercial y Administración de Tratados
2007,4100,3,"Comercio, Inversión y Competitividad"
2007,4100,4,"Hidrocarburos, Minas y Energía"
2007,4100,5,Regulación de Obligaciones Mercantiles y Contables
2007,4100,6,Estadística y Censos
2007,4100,7,Apoyo a Instituciones Adscritas
2007,4100,8,Apoyo a Otras Entidades
2007,4101,1,Ferias y Exposiciones
2007,4102,1,"Gestión de Política Científica, Tecnológica y de la Calidad"
2007,4105,1,Dirección y  Administración  Institucional
2007,4105,2,Servicios de  Exportación y Control de Calidad
2007,4105,4,Asistencia Tècnica Clima de Negocios
2007,4109,1,Regulación y Supervisión de Actividades de Electricidad y Telecomunicaciones
2007,4110,1,Dirección y Administración Superior
2007,4110,2,Fiscalización y Desarrollo del Mercado de Valores
2007,4111,1,Dirección y Administración Institucional
2007,4111,2,Fiscalización
2007,4111,3,SISTEMA DE PENSIONES PUBLICO
2007,4114,1,Dirección y Administración Institucional
2007,4114,2,Servicios de Registro de la Propiedad Raíz e Hipotecas
2007,4114,3,Servicios del Registro de Comercio
2007,4114,4,"Servicios Cartográficos, Geográficos y Catastrales"
2007,4114,5,Modernización del Registro Inmobiliario y del Catastro
2007,4114,6,Servicios de la Deuda
2007,4114,7,Servicios de Registro de la Propiedad Intelectual
2007,4117,1,Eficiencia Económica de los Mercados
2007,4118,1,Dirección y Administración Institucional
2007,4118,2,Gestión Operativa Institucional
2007,4200,1,Dirección y Administración Institucional
2007,4200,2,Economía Agropecuaria
2007,4200,3,Sanidad Agropecuaria
2007,4200,4,"Ordenamiento Forestal, Cuencas y Riego"
2007,4200,5,Desarrollo Pesquero
2007,4200,6,Apoyo a Instituciones Adscritas y Otras Entidades
2007,4200,7,Desarrollo Integral y Asistencia Técnica
2007,4200,8,Manejo de Cuencas Hidrográficas
2007,4200,9,Reconversión Agroempresarial
2007,4200,10,Agronegocios
2007,4200,11,Apoyo al Desarrollo Agropecuario
2007,4200,99,Unidad Presupuestaria sin ejecución
2007,4201,1,Dirección y Administración Institucional
2007,4201,2,Seguridad Jurídica Sobre la Transferencia de Tierras en el Sector Agropecuario Reformado
2007,4202,1,Dirección y Administración Institucional
2007,4202,2,Investigación y Transferencia Tecnológica
2007,4202,99,UNIDAD PRESUPUESTARIA SIN EJECUCION
2007,4203,1,Dirección y Administración Institucional
2007,4300,1,Dirección y Administración Institucional
2007,4300,2,Obras Públicas
2007,4300,3,Vivienda y Desarrollo Urbano
2007,4300,4,Transporte
2007,4300,5,Apoyo a Instituciones Adscritas y Otras Entidades
2007,4300,6,Apoyo a Instituciones Adscritas y Otras Entidades relacionadas con el Sector Vivienda
2007,4300,56,PROYECTOS PRIORITARIOS DIVERSOS PARA EL DESARROLLO ECONOMICO Y SOCIAL DEL PAIS
2007,4300,99,Unidad Presupuestaria s/ejecución
2007,4301,1,Dirección y Administración Institucional
2007,4301,2,Servicio de la Deuda Interna
2007,4301,3,Comercialización
2007,4301,4,"Producción, Distribución y Saneamiento"
2007,4301,5,Inversión
2007,4304,1,"Normalización, Regulación y Vigilancia del Transporte Aéreo"
2007,4305,1,Dirección y Administración
2007,4305,2,Programa de Créditos
2007,4305,3,Servicio de la Deuda
2007,4305,4,Inversiones
2007,4305,5,Fondo Especial de Contribuciones
2007,4305,6,Fondo Nuevo Amanecer
2007,4306,1,Dirección y Administración Institucional
2007,4306,2,Conservación de la Red Vial
2007,4400,1,Dirección y Administración Institucional
2007,4400,2,Desarrollo Sostenible de los Recursos Naturales
2007,4400,3,Apoyo a Otras Entidades
2007,4400,4,Apoyo a la Gestión Ambiental de El Salvador
2007,4400,5,Servicio Nacional de Estudios Territoriales
2007,4600,1,Dirección y Administración Institucional
2007,4600,2,Apoyo a Instituciones Adscritas
2007,4601,1,Dirección y Administración Institucional
2007,4601,2,Administración y  Mantenimiento de Turicentros y Parques
2007,4601,3,Infraestructura Turistica
2007,4602,1,Desarrollo Turístico Nacional
2008,100,1,Dirección y Administración Institucional
2008,100,2,Legislación
2008,100,3,Infraestructura Física
2008,100,4,Modernización y Fortalecimiento Institucional
2008,200,1,Dirección y Administración Institucional
2008,200,2,Control y Auditoría de la Gestión Pública
2008,300,1,Dirección y Administración Institucional
2008,300,2,"Organización, Capacitación, Actualización Electoral y Fortalecimiento Democrático"
2008,300,3,Apoyo a  Entidades Adscritas y a la Gestión Electoral
2008,301,1,Dirección y Administración Institucional
2008,301,2,Registro e Identificación de las  Personas Naturales
2008,400,1,Servicio Civil
2008,500,1,Dirección y Administración Institucional
2008,500,2,Secretaría de Comunicaciones de la Presidencia
2008,500,3,Becas
2008,500,4,Fortalecimiento  Familiar
2008,500,5,Secretaría  Técnica
2008,500,6,Apoyo a  Instituciones  Adscritas
2008,500,7,Apoyo a  Otras  Entidades
2008,501,1,Dirección y Administración Institucional
2008,501,2,Actividades Deportivas
2008,504,1,Dirección y Administración Institucional
2008,504,2,Gestión para el Desarrollo Integral de la Mujer
2008,504,3,Inversión en Equipamiento
2008,507,1,Dirección y Administración Institucional
2008,507,2,Desarrollo Humano
2008,507,3,Desarrollo Productivo
2008,507,4,Conectividad
2008,507,5,Rendición de Cuentas
2008,537,1,Dirección y Administración Institucional
2008,537,2,Gestion de Creditos
2008,551,1,Promoción de Exportaciones e Inversiones
2008,600,1,Dirección y Administración Institucional
2008,700,1,Dirección y Administración Institucional
2008,700,2,Administración del Presupuesto Público
2008,700,3,Servicios Tributarios Internos
2008,700,4,Administración de Aduanas
2008,700,5,Administración del Tesoro
2008,700,6,Contabilidad Gubernamental
2008,700,7,Apelaciones Tributarias y de Aduanas
2008,700,8,Infraestructura Física
2008,700,9,Financiamiento a Gobiernos Municipales
2008,700,10,Provisión para Atender Gastos Imprevistos
2008,700,11,Financiamiento al Fondo de Inversión Social para el Desarrollo Local
2008,700,12,Financiamiento al Programa de Rehabilitación de Lisiados
2008,700,13,Programa para la Rehabilitación del Sector Agropecuario
2008,700,14,Financiamiento al Fondo de Amortización y Fideicomiso del Sistema de Pensiones Público
2008,700,15,"Financiamiento al Fideicomiso para Inversión en Educación, Paz Social y Seguridad Ciudadana"
2008,700,16,Obligaciones Generales del Estado
2008,700,17,Financiamiento al Fondo de Estabilización y Fomento Económico
2008,700,18,Financimiento al Fondo de Inversión Nacional en Electricidad y Telefonía
2008,700,19,Financiamiento a la Red de Protección Social
2008,700,20,Financiamiento de Contrapartidas de Proyectos de Inversión
2008,700,21,Financiamiento al Fondo de Prevención y Mitigación de Desastres
2008,700,22,Financiamiento al Fondo de Conservación Vial
2008,700,23,Servicio de la Deuda Pública Interna
2008,700,24,Servicio de la Deuda Pública Externa
2008,700,25,Provisión para Transferir Recursos al Presupuesto Especial Extraordinario para el Evento Electoral
2008,700,26,Apoyo a Instituciones Adscritas a Otros Ramos para Operaciones de Compensación de Deudas
2008,701,1,Dirección y Administración Institucional
2008,701,2,Utilidades al Fondo General
2008,701,3,"Comercialización, Comisiones y Premios"
2008,701,4,Adquisición de Productos de Lotería
2008,701,5,Inversión Real
2008,703,1,Tesoro Publico
2008,800,1,Dirección y Administración Institucional
2008,800,2,Servicio Diplomático y Consular
2008,800,3,Administración de Política Internacional
2008,800,4,Soberanía Nacional y Fronteras
2008,800,5,Administración de Cooperación Externa
2008,800,6,Gestión de Asuntos Jurídicos y Derechos Humanos
2008,800,7,Apoyo a Otras Entidades
2008,800,99,Unidad Presupuestaria sin Ejecución
2008,900,1,Dirección y  Administración  Institucional
2008,900,2,Gestión Operativa Institucional
2008,900,3,Apoyo a Otras Entidades
2008,900,4,Inversión Institucional
2008,902,1,Dirección y Administración Institucional
2008,902,2,Sumistros y Comercialización
2008,902,3,Inversión Financiera
2008,1500,1,Dirección y Administración Institucional
2008,1500,2,Selección y Evaluación
2008,1500,3,Escuela de Capacitación Judicial
2008,1600,1,Dirección y Administración Institucional
2008,1600,2,Medicina Legal
2008,1600,3,Administración de Justicia
2008,1600,4,Infraestructura Física
2008,1600,5,Modernización del Organo Judicial
2008,1600,99,UNIDAD PRESUPUESTARIA SIN EJECUCION
2008,1700,1,Dirección y Administración Institucional
2008,1700,2,Defensa de los Intereses de la Sociedad
2008,1700,3,Defensa de los Intereses del Estado
2008,1700,4,Apoyo al Desarrollo Institucional
2008,1800,1,Dirección y Administración Institucional
2008,1800,2,Asistencia  Legal   y   Psico-Social
2008,1800,3,Apoyo al Desarrollo Institucional
2008,1900,1,Dirección y Administración Institucional
2008,1900,2,"Defensa, Protección, Vigilancia y Educación de los Derechos Humanos"
2008,2300,1,Dirección y Administración Institucional
2008,2300,2,Prevención y Atención de Riesgos
2008,2300,3,Gobernación
2008,2300,4,Gestión de Servicios
2008,2303,1,Dirección y  Administración Institucional
2008,2303,2,"Gestión Financiera, Capacitación y  Asistencia Técnica a  Municipalidades"
2008,2303,3,Crédito a Municipalidades
2008,2303,4,Servicio de la Deuda
2008,2400,1,Dirección y Administración Institucional
2008,2400,2,"Prevención, Participación y Reinserción Social"
2008,2400,3,Justicia e Iniciativas Legislativas
2008,2400,4,Registro y Control Migratorio
2008,2400,5,Seguridad Pública
2008,2400,6,Administración del Sistema Penitenciario
2008,2400,7,Apoyo a Instituciones Adscritas y Otras Entidades
2008,2400,8,Infraestructura Policial
2008,2400,9,Infraestructura Penitenciaria
2008,2400,10,Paz Social y Seguridad Ciudadana
2008,2401,1,Dirección y Administración Institucional
2008,2401,2,Formación de Miembros para la Seguridad Pública
2008,2401,3,"Construcción, Remodelación, Equipamiento y Fortalecimiento Operativo Institucional"
2008,2402,1,Dirección y Administración Institucional
2008,2402,2,Apoyo Sectorial
2008,3100,1,Dirección y Administración Institucional
2008,3100,2,Educación  Parvularia
2008,3100,3,Educación Básica
2008,3100,4,Educación  Media
2008,3100,5,Modalidades Flexibles de Educación
2008,3100,6,Apoyo a Instituciones Adscritas y Otras Entidades
2008,3100,7,Programa de Conversión de Deuda de El Salvador frente a España
2008,3100,8,"Fortalecimiento del Acceso,  Calidad y Equidad de la Educación"
2008,3100,9,Concultura
2008,3100,10,Infraestructura Cultural
2008,3100,11,Bienestar Magisterial
2008,3100,12,Apoyo al Plan Nacional de Educación
2008,3106,1,Dirección y Administración Institucional
2008,3106,2,Protección y Atención a la Niñez y Adolescencia
2008,3106,3,Inversión Institucional
2008,3107,1,Dirección y Administración Institucional
2008,3107,2,Prestación de  los Servicios Médico Hospitalarios
2008,3107,3,Inversión Financiera
2008,3200,1,Dirección y Administración Institucional
2008,3200,2,Primer Nivel de Atención
2008,3200,3,Apoyo a Instituciones Adscritas y Otras Entidades
2008,3200,4,Desarrollo de la Inversión
2008,3201,1,Dirección y Administración Institucional
2008,3201,2,Servicios Integrales en Salud
2008,3202,1,Dirección y Administración Institucional
2008,3202,2,Servicios Integrales en Salud
2008,3203,1,Dirección y Administración Institucional
2008,3203,2,Servicios Integrales en Salud
2008,3204,1,Dirección y Administración Institucional
2008,3204,2,Servicios Integrales en Salud
2008,3204,3,"Promoción, Fomento, Restauración de la Salud y Saneamiento Ambiental"
2008,3205,1,Dirección y Administración Institucional
2008,3205,2,Servicios Integrales en Salud
2008,3205,3,"Promoción, Fomento, Restauración de la Salud y Saneamiento Ambiental"
2008,3206,1,Dirección y Administración Institucional
2008,3206,2,Servicios Integrales en Salud
2008,3207,1,Dirección y Administración Institucional
2008,3207,2,Servicios Integrales en Salud
2008,3208,1,Dirección y Administración Institucional
2008,3208,2,Servicios Integrales en Salud
2008,3208,3,"Promoción, Fomento, Restauración de la Salud y Saneamiento  Ambiental"
2008,3209,1,Dirección y Administración Institucional
2008,3209,2,Servicios Integrales en Salud
2008,3210,1,Dirección y Administración Institucional
2008,3210,2,Servicios  Integrales en Salud
2008,3210,3,"Promoción, Fomento, Restauración de la Salud y Saneamiento Ambiental"
2008,3211,1,Dirección y Administración Institucional
2008,3211,2,Servicios Integrales en Salud
2008,3211,3,"Promoción, Fomento, Restauración de la Salud y Saneamiento Ambiental"
2008,3212,1,Dirección y Administración Institucional
2008,3212,2,Servicios Integrales en Salud
2008,3213,1,Dirección y Administración Institucional
2008,3213,2,Servicios Integrales en Salud
2008,3213,3,"Promoción, Fomento, Restauración de la Salud y Saneamiento Ambiental"
2008,3214,1,Dirección y Administración Institucional
2008,3214,2,Servicios Integrales en  Salud
2008,3214,3,"Promoción, Fomento, Restauración de la Salud y Saneamiento Ambiental"
2008,3215,1,Dirección y Administración Institucional
2008,3215,2,Servicios Integrales en Salud
2008,3216,1,Dirección y Administración Institucional
2008,3216,2,Servicios Integrales en Salud
2008,3216,3,"Promoción, Fomento, Restauración de la Salud y Saneamiento Ambiental"
2008,3217,1,Dirección y Administración Institucional
2008,3217,2,Servicios Integrales en Salud
2008,3217,3,"Promoción, Fomento, Restauración de la Salud y Saneamiento Ambiental"
2008,3218,1,Dirección y Administración Institucional
2008,3218,2,Servicios Integrales en Salud
2008,3219,1,Dirección y Administración Institucional
2008,3219,2,Servicios Integrales en Salud
2008,3219,3,"Promoción, Fomento, Restauración de la Salud y Saneamiento Ambiental"
2008,3220,1,Dirección y Administración Institucional
2008,3220,2,Servicios Integrales en Salud
2008,3220,3,"Promoción, Fomento, Restauración de la Salud y Saneamiento Ambiental"
2008,3221,1,Dirección y Administración Institucional
2008,3221,2,Servicios Integrales en Salud
2008,3221,3,"Promoción, Fomento, Restauración de la Salud y Saneamiento Ambiental"
2008,3222,1,Dirección Administración Institucional
2008,3222,2,Servicios Integrales en Salud
2008,3222,3,"Promoción, Fomento, Restauración de la Salud y Saneamiento Ambiental"
2008,3223,1,Dirección y Administración Institucional
2008,3223,2,Servicios Integrales en Salud
2008,3223,3,"Promoción, Fomento, Restauración de la Salud y Saneamiento Ambiental"
2008,3224,1,Dirección y Administración Institucional
2008,3224,2,Servicios Integrales en Salud
2008,3224,3,"Promoción, Fomento,  Restauración de la Salud y Saneamiento Ambiental"
2008,3225,1,Dirección y Administración Institucional
2008,3225,2,Servicios Integrales en Salud
2008,3225,3,"Promoción, Fomento, Restauración de la Salud y Saneamiento Ambiental"
2008,3226,1,Dirección y Administración Institucional
2008,3226,2,Servicios Integrales en Salud
2008,3227,1,Dirección y Administración Institucional
2008,3227,2,Servicios Integrales en Salud
2008,3227,3,"Promoción, Fomento, Restauración de la Salud y Saneamiento Ambiental"
2008,3228,1,Dirección y Administración Institucional
2008,3228,2,Servicios Integrales en Salud
