Año,Oficina,Nombre de la oficina,Nivel,Clasificador,2. Propuesto,3. Aprobado,4. Modificado,5. Devengado
2013,3200,RAMO DE SALUD PUBLICA,Gobierno central,,,577131600.14,627233256.47,608887222.41
2013,3201,HOSPITAL NACIONAL ROSALES,Descentralizadas,,,42806110.0,39442570.0,39159647.14
2013,3202,HOSPITAL NACIONAL BENJAMIN BLOOM,Descentralizadas,,,26886120.0,26192973.0,26048303.45
2013,3203,"HOSPITAL NACIONAL DE MATERNIDAD DR. RAUL ARGUELLO ESCOLAN""",Descentralizadas,,,14517705.0,14706187.0,14630464.67
2013,3204,"HOSPITAL NACIONAL PSIQUIATRICO DR.JOSE MOLINA MARTINEZ""",Descentralizadas,,,10882955.0,9975436.0,9927724.15
2013,3205,"HOSPITAL NACIONAL DE NEUMOLOGIA DR. JOSE ANTONIO ZALDAÑA""",Descentralizadas,,,7313910.0,7323470.0,7253898.36
2013,3206,"HOSPITAL NACIONAL SAN JUAN DE DIOS"",  SANTA ANA""",Descentralizadas,,,20526860.0,20722529.0,20603462.08
2013,3207,"HOSPITAL NACIONAL FRANCISCO MENENDEZ"", AHUACHAPAN""",Descentralizadas,,,6735350.0,6694841.0,6562435.88
2013,3208,"HOSPITAL NACIONALDR.JORGE MAZZINI VILLACORTA"", SONSONATE""",Descentralizadas,,,9146785.0,9424033.0,9358508.05
2013,3209,"HOSPITAL NACIONAL DR.LUIS EDMUNDO VASQUEZ"", CHALATENANGO""",Descentralizadas,,,4942080.0,4780702.0,4728954.43
2013,3210,"HOSPITAL NACIONAL SAN RAFAEL"", SANTA TECLA""",Descentralizadas,,,14044820.0,14021374.0,13891971.78
2013,3211,"HOSPITAL NACIONAL SANTA GERTRUDIS"", SAN VICENTE""",Descentralizadas,,,8420660.0,8343953.0,8060078.18
2013,3212,"HOSPITAL NACIONAL SANTA TERESA"", ZACATECOLUCA""",Descentralizadas,,,7626305.0,7951016.0,7883448.37
2013,3213,"HOSPITAL NACIONAL SAN JUAN DE DIOS"", SAN MIGUEL""",Descentralizadas,,,21519580.0,20774652.0,20605518.81
2013,3214,"HOSPITAL NACIONAL SAN PEDRO"", USULUTAN""",Descentralizadas,,,8065785.0,7910234.0,7816625.97
2013,3215,"HOSPITAL NACIONAL DR.JUAN JOSE FERNANDEZ"", DE ZACAMIL""",Descentralizadas,,,13308820.0,13294887.0,12901725.98
2013,3216,"HOSPITAL NACIONAL ENFERM ANGELICA V NAJARRO"", SAN BARTOLO""",Descentralizadas,,,5679820.0,5649755.0,5609366.3
2013,3217,HOSPITAL NACIONAL DE COJUTEPEQUE,Descentralizadas,,,5004265.0,5146266.0,5070563.91
2013,3218,HOSPITAL NACIONAL DE LA UNION,Descentralizadas,,,2741865.0,2786178.0,2751459.77
2013,3219,HOSPITAL NACIONAL DE ILOBASCO,Descentralizadas,,,3262830.0,3273466.0,3202306.68
2013,3220,HOSPITAL NACIONAL DE NUEVA GUADALUPE,Descentralizadas,,,3092980.0,3102383.0,3097196.52
2013,3221,"HOSPITAL NACIONALMONS OSCAR ARNULFO ROMERO,CIUDAD BARRIOS""",Descentralizadas,,,2719415.0,2662109.0,2649626.34
2013,3222,HOSPITAL NACIONAL DE SENSUNTEPEQUE,Descentralizadas,,,2743445.0,2852370.0,2838409.16
2013,3223,HOSPITAL NACIONAL DE CHALCHUAPA,Descentralizadas,,,3284385.0,3222495.0,3201649.14
2013,3224,HOSPITAL NACIONAL DE METAPAN,Descentralizadas,,,2667380.0,2533815.0,2519427.3
2013,3225,HOSPITAL NACIONAL DE SAN FRANCISCO GOTERA,Descentralizadas,,,3789210.0,3603020.0,3562383.47
2013,3226,HOSPITAL NACIONAL DE SANTA ROSA DE LIMA,Descentralizadas,,,3472555.0,3291188.0,3252249.23
2013,3227,HOSPITAL NACIONAL DE  NUEVA CONCEPCIÓN,Descentralizadas,,,2732500.0,2683301.0,2637250.97
2013,3228,"HOSPITAL NACIONAL DR JORGE ARTURO MENA"", SANTIAGO DE MARIA""",Descentralizadas,,,3139615.0,3065927.0,2997396.85
2013,3229,HOSPITAL NACIONAL DE JIQUILISCO,Descentralizadas,,,2932850.0,2821538.0,2801258.55
2013,3230,HOSPITAL NACIONAL DE SUCHITOTO,Descentralizadas,,,1745120.0,1706311.0,1687512.84
2013,3231,CONSEJO SUPERIOR DE SALUD PUBLICA  (CSSP),Descentralizadas,,,1797390.0,2149390.0,1906964.29
2013,3232,INSTITUTO SALVADORE¥O DE REHABILITACION DE INVALIDOS (ISRI),Descentralizadas,,,10501660.0,10701660.0,10445023.66
2013,3233,"HOGAR DE ANCIANOS NARCISA CASTILLO"", SANTA ANA""",Descentralizadas,,,424520.0,424520.0,424446.39
2013,3234,CRUZ ROJA SALVADORE¥A,Descentralizadas,,,2847640.0,2847640.0,2766914.39
2013,3235,FONDO SOLIDARIO PARA LA SALUD (FOSALUD),Descentralizadas,,,42080000.0,42080000.0,40607855.25
2013,3266,DIRECCION NACIONAL DE MEDICAMENTOS (DNM),Descentralizadas,,,4159325.0,4159325.0,3438455.02
2013,3300,RAMO DE TRABAJO Y PREVISION SOCIAL,Gobierno central,,,14993876.0,14597700.0,14539032.8
2013,3301,INSTITUTO SALVADOREÑO DE FOMENTO COOPERATIVO (INSAFOCOOP),Descentralizadas,,,1320600.0,1265424.0,1243377.49
2013,3302,INSTITUTO SALV. DE FORMACION PROFESIONAL (INSAFORP),Descentralizadas,,,32887500.0,32887500.0,27570372.65
2013,3303,INSTITUTO SALVADORE¥O DEL SEGURO SOCIAL (ISSS),Descentralizadas,,,673845205.0,673845205.0,639557929.2
2013,3304,FDO PROTEC LISIADOS Y DISCAP.A CONSEC.DELCONFLICTO ARMADO,Descentralizadas,,,44102340.83,43114118.24,42650234.72
2013,4100,RAMO DE ECONOMIA,Gobierno central,,,123471180.5,189681930.5,184497421.75
2013,4101,CENTRO INTERNACIONAL DE FERIAS Y CONVENCIONES D E.S.- CIFCES,Descentralizadas,,,4210420.0,4210420.0,3087653.57
2013,4102,CONSEJO NACIONAL DE CIENCIA Y TECNOLOGIA (CONACYT),Descentralizadas,,,547810.0,195356.0,87190.61
2013,4105,CONSEJO SALVADORE¥O DEL CAFE (CSC),Descentralizadas,,,1928480.0,1928480.0,1702685.47
2013,4106,COMISION EJECUTIVA HIDROELECTRICA DEL RIO LEMPA  (CEL),Descentralizadas,,,378108390.0,517788464.5,475105957.31
2013,4109,SUPERINTENDENCIA GRAL.DE ELECT. Y TELECOMUNICACIONES (SIGET),Descentralizadas,,,12712175.0,12712175.0,10248790.59
2013,4112,CORPORACION SALVADORE¥A DE INVERSIONES  (CORSAIN),Descentralizadas,,,11968455.0,15190461.29,7849017.64
2013,4114,CENTRO NACIONAL DE REGISTROS   (CNR),Descentralizadas,,,53920870.0,53920870.0,46395250.45
2013,4115,FONDO DE INVERSION NAC. EN ELECTRICIDAD Y TELEFONIA (FINET),Descentralizadas,,,1935250.0,181657150.0,179304098.33
2013,4116,CONSEJO SALV. DE LA AGROINDUSTRIA AZUCARERA (CONSAA),Descentralizadas,,,797080.0,1104371.0,642575.34
2013,4117,SUPERINTENDENCIA DE COMPETENCIA  (SC),Descentralizadas,,,1911450.0,1911450.0,1997973.86
2013,4118,DEFENSORIA DEL CONSUMIDOR (DC),Descentralizadas,,,5412335.0,6435597.0,6259024.97
2013,4119,Consejo Nacional de Energía,Descentralizadas,,,2900038.6,2867806.6,2403250.98
2013,4120,CONSEJO NACIONAL DE CALIDAD (CNC),Descentralizadas,,,3076530.0,3076530.0,1745777.52
