Institución,Tipo/Código del proceso,Nombre del proceso,Resultado,Monto,Fecha Resultado
Administración Nacional de Acueductos y Alcantarillados (ANDA),Libre gestión 20200062,"SUMINISTRO DE BATERIAS DE CICLO PROFUNDO PARA SER UTILIZADAS EN REPETIDORAS Y RADIOS UBICADOS EN SITIOS DE REPETICIÓN Y ESTACIONES DE BOMBEO, REGIÓN METROPOLITANA, AÑO 2020. SE ADJUNTAN ESPECIFICACIONES TÉCNICAS E INVITACIÓN.",Adjudicada,"$6,696.43",23/04/2020
Autoridad Marítima Portuaria (AMP),Libre gestión 20200026,SERVICIO DE ARRENDAMIENTO DE MULTIFUNCIONALES PARA OFICINAS AMP,Adjudicada,"$14,395.39",23/04/2020
Instituto de Previsión Social de la Fuerza Armada (IPSFA),Libre gestión 20200124,"PRODUCTOS PARA MANTENIMIENTO DE PISCINA, CENTRO RECREATIVO AMATITÁN.",Adjudicada,$341.45,23/04/2020
"Hospital Nacional ""Enfermera Angélica Vidal de Najarro"", San Bartolo, San Salvador",Libre gestión 20200046,COMPRA DE QUÍMICOS PARA USO DE CALDERAS DEL HNSB,Adjudicada,"$1,715.00",23/04/2020
"Hospital Nacional Psiquiátrico ""Dr. José Molina Martínez"", Soyapango, San Salvador",Libre gestión 20200063,"DESCARTABLE PARA BOMBA DE INFUSION VOLUMETRICA MACRO MICRO, EXTENSION (2.5-3)M EMPAQUE UNDIVIDUAL ESTERIL.",Adjudicada,"$15,000.00",23/04/2020
Instituto Salvadoreño del Seguro Social (ISSS),Libre gestión 20190621,REABASTECIMIENTO DE INSUMOS PARA GASTROENTEROLOGIA,Adjudicada,"$35,060.64",23/04/2020
Municipalidad de Soyapango,Libre gestión 20200046,SERVICIOS DE ENCUESTAS,Adjudicada,"$20,340.00",23/04/2020
Municipalidad de Soyapango,Libre gestión 20200062,SERVICIO DE PUBLICIDAD RADIAL,Adjudicada,"$2,640.00",23/04/2020
Unidad Técnica Ejecutiva del Sector Justicia (UTE),Libre gestión 20200035,PROGRAMA DE SEGURO DE DAÑOS PARA LA UTE CON COBERTURA DURANTE EL PERIODO DEL 30 DE ABRIL AL 31 DE DICIEMBRE DE 2020,Adjudicada,"$8,934.86",23/04/2020
Tribunal Supremo Electoral (TSE),Libre gestión 20200076,SERVICIO DE MANTEMIENTO PREVENTIVO Y CORRECTIVO DE EQUIPO DE AIRE ACONDICIONADO,Adjudicada,$150.00,23/04/2020
Tribunal Supremo Electoral (TSE),Libre gestión 20200020,SUMINISTRO E INSTALACION DE EQUIPOS DE AIRE ACONDICIONADO,Adjudicada,"$2,300.00",23/04/2020
,,Monto Total Adjudicado:,,"$47,047,240.53",
Municipalidad de Izalco,Libre gestión 20200332,compra de 6800 libras de sal que serán utilizados en entrega de productos alimenticios en emergencia covid -19,Adjudicada,$680.00,23/04/2020
Instituto de Previsión Social de la Fuerza Armada (IPSFA),Libre gestión 20200024,SUMINISTRO DE CAFÉ TOSTADO Y MOLIDO PARA EL IPSFA. AÑO 2020,Adjudicada,"$7,104.88",23/04/2020
Centro Nacional de Tecnología Agropecuaria y Forestal (CENTA),Libre gestión 20200112,1 juego de cuatro alfombras plasticas para vehículo y 1 juego de cuatro alfombras de felpa para vehículo.,Adjudicada,$40.00,23/04/2020
Municipalidad de Izalco,Libre gestión 20200331,compra de 7 termómetros que serán utilizados en emergencia covid 2019,Adjudicada,$630.00,23/04/2020
Instituto de Previsión Social de la Fuerza Armada (IPSFA),Libre gestión 20200123,COMPRA DE LETRERO INFORMATIVO PARA CENTRO RECREATIVO AMATITÁN.,Adjudicada,$45.20,23/04/2020
Ministerio de Hacienda (MHDA),Libre gestión 20200220,MANTENIMIENTO CORRECTIVO VEHÍCULO N-11553,Adjudicada,$368.10,23/04/2020
Ministerio de Hacienda (MHDA),Libre gestión 20200219,MANTENIMIENTO PREVENTIVO VEHÍCULO N-17942,Adjudicada,$302.62,23/04/2020
Ministerio de Hacienda (MHDA),Libre gestión 20200218,MANTENIMIENTO PREVENTIVO VEHÍCULO N-17944,Adjudicada,$222.62,23/04/2020
Ministerio de Hacienda (MHDA),Libre gestión 20200217,MANTENIMIENTO PREVENTIVO VEHÍCULO N-17943,Adjudicada,$222.62,23/04/2020
Ministerio de Hacienda (MHDA),Libre gestión 20200216,MANTENIMIENTO PREVENTIVO DE VEHÍCULO N-17941,Adjudicada,$222.62,23/04/2020
Centro Nacional de Tecnología Agropecuaria y Forestal (CENTA),Libre gestión 20200106,25 LIBRAS DE ESTERINA (CERA.,Adjudicada,$60.00,23/04/2020
Academia Nacional de Seguridad Pública,Libre gestión LG-0208-2020,"SERVICIO DE MANTENIMIENTO DE IMPRESORAS (Unidad de Comunicaciones, Protocolo y RRPP)",Declarada Desierta,,23/04/2020
Academia Nacional de Seguridad Pública,Libre gestión LG-0207-2020,"ADQUISICIÓN DE BANDERAS PARA INTEMPERIE Y BANDERAS DE PAÍSES (Unidad de Comunicaciones, Protocolo y RRPP)",Declarada Desierta,,23/04/2020
"Hospital Nacional de La Unión, La Unión",Libre gestión 20200015,TRAJES QUIRURGICOS CON ZAPATERAS DE PLASTICO; DELANTALES PLASTICOS,Adjudicada,"$2,440.00",23/04/2020
Policía Nacional Civil (PNC),Libre gestión 20200075,"09	RECEPTACULOS DE BAQUELITA 09	CAJAS OCTAGONALES METALICAS 06	LAMPARAS LED 2 X 18 20	FOCOS AHORRATIVOS DE 15 AMP 03	LAMPARAS COMPLETAS PARA EMPOTRAR 4 X 32W 05 INTERRUPTORES SENCILLOS 02	INTERRUPTORES DOBLES 03	INTERRUPTORES TRIPLES 15	CANALETAS PLASTICAS TIPO LEGRAND DE 12 X 20 02	LIBRAS DE ALAMBRE GALVANIZADO # 16 10	BOLSAS DE DETERGENTE DE 1500 GRAMOS 10	GALONES DE DESINFECTANTE PARA PISO 10	GALONES DE LEJIA 10	GALONES DE ACIDO LIMPIADOR PARA BAÑOS 02	PAQUETES DE BOLSAS PLASTICAS JARDINERAS (DE 10 UNIDADES) 04	ESCOBAS PLASICAS MEDIANAS 04	REPUESTOS PARA TRAPEADORES 05	JUEGOS DE GUANTES DE HULE, MASCARILLA Y LENTES PARA LIMPIEZA 	FECHA LIMITE DE RECEPCION DE OFERTA: 14/04/2020",Adjudicada,$523.80,23/04/2020
,,Monto Total Adjudicado:,,"$47,047,240.53",
Policía Nacional Civil (PNC),Libre gestión 20200074,16	TOMA CORRIENTE DOBLE POLARIZADO DE 20A 16	PLACAS PARA TOMACORRIENTE DOBLE BAQUELITA 12	CAJAS RECTANGULARES PLASTICAS 01	CAJA TERMICA DE 2 CIRCUITOS (DE PRIMERA CALIDAD) 03	DADOS TERMICOS DE 20A 1 POLO (DE PRIMERA CALIDAD) 02	CAJAS TERMICAS DE 4 CIRCUITOS (DE PRIMERA CALIDAD) 01	DADO TERMICO DE 15A 2 POLOS (DE PRIMERA CALIDAD) 01	DADO TERMICO DE 30A 2 POLOS (DE PRIMERA CALIDAD) 01 ROLLO DE 100 METROS DE CABLE TNM 2 X 12 COLOR BLANCO 01	ROLLO DE 50 METROS DE CABLE TNM 3 X 10 COLOR BLANCO 250	GRAPAS PARA CABLE TNM 2 X 12 125	GRAPAS PARA CABLE TNM 3 X 10 100	TORNILLOS GOLOSOS DE 1¿ 75	TORNILLOS GOLOSOS DE 2¿ 50	TORNILLOS AUTORROSCANTE DE 1¿ 20	SCOTCHLOCK COLOR GRIS 20	SCOTCHLOCK COLOR ROJO 07	ROLLO DE CINTA AISLANTE NEGRA(DE PRIMERA CALIDAD) 09	PLACAS CIEGAS RECTANGULARES PLASTICAS 05	PLACA PARA TOMA DE BAQUELITA DE 50 AMPERIOS 	FECHA LIMITE DE RECEPCION DE OFERTA: 14/04/2020,Adjudicada,$362.32,23/04/2020
"Hospital Nacional de La Unión, La Unión",Libre gestión 20200014,Adquisición de Instrumental Medico,Adjudicada,"$1,451.64",23/04/2020
"Hospital Nacional de La Unión, La Unión",Libre gestión 20200013,ADQUISICION DE COMBUSTIBLE DIESEL A GRANEL,Adjudicada,"$3,330.00",23/04/2020
Policía Nacional Civil (PNC),Libre gestión 20200073,02	DUCHAS TIPO PLATO CROMADA 04	LAVAMANOS COMPLETOS 02 VASTAGOS ESTANDAR PARA VALVULA DE DUCHA 03	TUBOS PVC DE 4¿ 06	CODOS PVC SIN ROSCA DE 4¿ 04	ADAPTADORES HEMBRA DE PVC DE ¾¿ 05	ROLLOS DE CINTA TEFLON DE ¾¿ X 12¿ 04	TUBOS PVC DE ¾¿ 08	CODOS PVC SIN ROSCA DE ¾¿ 01	GALON DE PEGAMENTO PARA PVC TIPO TANGIT 04	SERVICIOS SANITARIOS COMPLETOS 09	BOLSAS DE CEMENTO GRIS 03	BOLSAS DE PORCELANA COLOR BEIGE DE 2.2 KILOGRAMOS 108	METROS CUADRADOS DE CERAMICA DE 0.43 X 0.43 CENTIMETROS (COLOR A ESCOGER) 01	METRO CUBICO DE ARENA DE RIO 	FECHA LIMITE DE RECEPCION DE OFERTA: 14/04/2020,Adjudicada,$697.24,23/04/2020
Policía Nacional Civil (PNC),Libre gestión 20200072,04	PLIEGOS DE FIBROLIT DE 8MM 20	RIOSTRAS DE CONACASTE DE 4 VARAS 50	TORNILLOS DE 3¿ 01	COSTANERA DE CEDRO DE 3 VARAS 04	VIDRIOS NEVADOS DE 1 METRO POR 10 CMS DE ANCHO 40	LOSETAS DE CIELO FALSO TIPO GALAXI 05	OPERADORES PARA VENTANA (SEGÚN IMAGEN DE REFERENCIA) 12	VIDRIOS CLAROS DE 1 METRO POR 10 CMS DE ANCHO 01	PUERTA DE VIDRIO COMPLETA DE 1.85 X 2.12 MTS 01	CORTA VIDRIO UNIVERSAL 01	VIDRIO CLARO DE 1 METRO POR 0.20 CMS 02	SET DE CLIPS PARA MARCO DE VENTANA DE 12 UNIDADES 01	PUERTA DE MADERA COMPLETA DE 0.60 X 2.10 METROS 01	PUERTA DE MADERA COMPLETA DE 0.80 X 2.10 METROS 50	TORNILLOS AUTORROSCANTES DE 2¿ 07	TEE PARA CIELO FALSO 31	CRUCEROS DE ALUMINIO PARA CIELO FALSO 08	ANGULOS DE ALUMINIO PARA CIELO FALSO 75	ANCLAS DE PLASTICO DE ¼ X 2¿ 03	GALONES DE TINTE COLOR CAOBA 15	PLIEGOS DE LIJA PARA MADERA # 220 01	VIDRIO PARA VENTANA DE 0.35 X 0.19 METROS 	FECHA LIMITE DE RECEPCION DE OFERTA: 14/04/2020,Adjudicada,"$1,200.75",23/04/2020
"Hospital Nacional de La Unión, La Unión",Libre gestión 20200012,INSUMOS MEDICOS,Adjudicada,"$29,647.00",23/04/2020
"Hospital Nacional de La Unión, La Unión",Libre gestión 20200010,"Adquisición de Suministros Generales (Oficina, Limpieza e imprenta, Telas)",Adjudicada,"$6,837.55",23/04/2020
"Hospital Nacional de La Unión, La Unión",Libre gestión 20200009,ADQUISICIÓN DE OXIGENO LIQUIDO.,Adjudicada,"$13,720.00",23/04/2020
"Hospital Nacional de La Unión, La Unión",Libre gestión 20200008,ARRENDAMIENTO DE FOTOCOPIADORA MULTIFUNCIONAL.,Adjudicada,"$12,000.00",23/04/2020
Centro Nacional de Tecnología Agropecuaria y Forestal (CENTA),Libre gestión 20200153,Renovación de membresía Códigos de barra 1-25,Adjudicada,$315.12,23/04/2020
"Hospital Nacional de La Unión, La Unión",Libre gestión 20200007,ARRENDAMIENTO DE FOTOCOPIADORA MULTIFUNCIONAL.,Adjudicada,"$4,800.00",23/04/2020
"Hospital Nacional de La Unión, La Unión",Libre gestión 20200006,SEGUNDA PUBLICACIÓN DE ADQUISICIÓN DE PRODUCTOS ALIMENTICIOS PARA PERSONAS AÑO 2020.,Adjudicada,"$34,275.97",23/04/2020
"Hospital Nacional de La Unión, La Unión",Libre gestión 20200005,ADQUISICIÓN DE PRODUCTOS ALIMENTICIOS PARA PERSONAS.,Adjudicada,,23/04/2020
"Hospital Nacional de La Unión, La Unión",Libre gestión 20200004,ADQUISICIÓN DE INSUMO MÉDICOS.,Adjudicada,"$2,050.00",23/04/2020
"Hospital Nacional de La Unión, La Unión",Libre gestión 20200003,ADQUISICIÓN DE REACTIVOS DE LABORATORIO.,Adjudicada,"$17,742.00",23/04/2020
,,Monto Total Adjudicado:,,"$47,047,240.53",
"Hospital Nacional de La Unión, La Unión",Libre gestión 20200002,"Recolección, Transporte y Disposición Final de Desechos Bio-Infecciosos.",Adjudicada,"$13,200.00",23/04/2020
Policía Nacional Civil (PNC),Libre gestión 20200108,"04 EQUIPOS MEDICOS, SEGUN ESPECIFICACIÓN EN DOCUMENTO ADJUNTO.",Adjudicada,$273.20,23/04/2020
Policía Nacional Civil (PNC),Libre gestión 20200104,"240SSET DE ROPA DE CAMA: SABANA, ALMOHADA, FUNDA Y FORRO DE CAMA.",Adjudicada,"$6,300.00",23/04/2020
Banco de Fomento Agropecuario (BFA),Libre gestión 20200180,Se requiere la adquisición de impresores financieros,Adjudicada,"$9,322.50",23/04/2020
Instituto de Previsión Social de la Fuerza Armada (IPSFA),Libre gestión 20200122,"PRODUCTOS PARA MANTENIMIENTO DE ÁREAS VERDES, ÁREA SOCIAL Y PISCINA , KUAUKALI.",Adjudicada,$20.22,23/04/2020
"Hospital Nacional ""Enfermera Angélica Vidal de Najarro"", San Bartolo, San Salvador",Libre gestión 20200058,COMPRA DE LARINGOSCOPIOS DESCARTABLE PARA EL HNSB,Adjudicada,$350.00,23/04/2020
Administración Nacional de Acueductos y Alcantarillados (ANDA),Libre gestión 20200105,"REHABILITACIÓN Y EQUIPAMIENTO DE POZO EN CIMA DE SAN BARTOLO, MUNICIPIO DE SOYAPANGO, DEPARTAMENTO DE SAN SALVADOR, REGIÓN METROPOLITANA",Adjudicada,"$42,419.85",23/04/2020
Centro Nacional de Tecnología Agropecuaria y Forestal (CENTA),Libre gestión 20200095,"Suministro de Agroquimicos FERTILIZANTES, INSECTICIDAS, FUNGICIDAS ADHERENTES, REACTIVADOR DE CRECIMIENTO, RODENTICIDAS NEMATICIDAS ACARICIDAS ETC ANEXA REQUERIMIENTO",Adjudicada,"$13,278.23",23/04/2020
"Hospital Nacional ""Enfermera Angélica Vidal de Najarro"", San Bartolo, San Salvador",Libre gestión 20200057,COMPRA DE TERMÓMETROS CLÍNICO INFRARROJO PARA EL HNSB. FAVOR VER ARCHIVO ANEXO,Adjudicada,"$1,116.00",23/04/2020
Instituto Nacional de los Deportes de El Salvador (INDES),Libre gestión 20200049,"SERVICIO DE TELEFONIA FIJA PARA LAS OFICINAS ADMINISTRATIVAS, INSTALACIONES Y ESCENARIOS DEPORTIVOS DEL INDES",Adjudicada,"$10,670.00",23/04/2020
Instituto Nacional de los Deportes de El Salvador (INDES),Libre gestión 20200058,SUMINISTRO DE MATERIALES FERRETEROS PARA TRABAJOS DE CONSTRUCCIÓN Y MANTENIMIENTO EN LAS INSTALACIONES ADMINISTRATIVAS Y DEPORTIVAS DEL INDES,Adjudicada,"$40,752.27",23/04/2020
Instituto Nacional de los Deportes de El Salvador (INDES),Libre gestión 20200079,Servicios Profesionales de Monitor Deportivo para el Proyecto de Adulto Mayor de la Gerencia de Desarrollo Deportivo,Adjudicada,"$3,500.00",23/04/2020
Instituto Nacional de los Deportes de El Salvador (INDES),Libre gestión 20200078,"Contratación de Servicios Profesionales de un diseñador gráfico, para la Unidad de Mercadeo y Comercialización",Adjudicada,"$3,500.00",23/04/2020
Instituto Nacional de los Deportes de El Salvador (INDES),Libre gestión 20200050,SUMINISTRO DE AGUA PURIFICADA PARA LAS OFICINAS ADMINISTRATIVAS Y ESCENARIOS DEPORTIVOS DE SAN SALVADOR Y DEPARTAMENTALES DEL INDES,Adjudicada,"$15,286.40",23/04/2020
Instituto Nacional de los Deportes de El Salvador (INDES),Libre gestión 20200012,"SERVICIOS DE ARRENDAMIENTO DE MULTIFUNCIONALES PARA LA IMPRESIÓN, REPRODUCCIÓN Y ESCANEO DE DOCUMENTOS PARA EL INDES AÑO 2020",Adjudicada,"$41,760.00",23/04/2020
,,Monto Total Adjudicado:,,"$47,047,240.53",
Instituto Nacional de los Deportes de El Salvador (INDES),Libre gestión 20200008,"CONTRATACIÓN DE SERVICIOS DE CABLE TV, PARA EL INDES AÑO 2020",Adjudicada,"$7,468.56",23/04/2020
Instituto Nacional de los Deportes de El Salvador (INDES),Libre gestión 20200013,"SERVICIO DE PÓLIZA DE SEGUROS COLECTIVO DE VEHÍCULOS PROPIEDAD DEL INDES, PARA EL AÑO 2020",Adjudicada,"$10,470.13",23/04/2020
Instituto Nacional de los Deportes de El Salvador (INDES),Libre gestión 20200007,"SERVICIO DE TELEFONÍA MÓVIL PARA EL INDES, AÑO 2020",Adjudicada,"$28,991.16",23/04/2020
Instituto Nacional de los Deportes de El Salvador (INDES),Libre gestión 20190530,LG-04-2020 SERVICIOS DE ENLACES DE INTERNET DEDICADO Y DATOS PARA INDES PARA EL AÑO 2020,Adjudicada,"$21,650.64",23/04/2020
Instituto Nacional de los Deportes de El Salvador (INDES),Libre gestión 20200126,COMPRA DE TERMOMETROS Y OXIMETROS PARA LA CLINICA EMPRESARIAL DE INDES,Adjudicada,"$1,347.00",23/04/2020
Instituto Nacional de los Deportes de El Salvador (INDES),Libre gestión 20200105,ADQUISICION DE MOBILIARIO DE OFICINA PARA EL EQUIPAMIENTO DE LA GERENCIA LEGAL,Adjudicada,"$4,250.00",23/04/2020
Instituto Nacional de los Deportes de El Salvador (INDES),Libre gestión 20200063,COMPRA DE MUEBLES PARA ADECUACIONES DE OFICINAS DEPARTAMENTALES DE LA GERENCIA DE DESARROLLO DEPORTIVO INDES 2020,Adjudicada,"$5,964.60",23/04/2020
