Institución,Código del proceso/Tipo,Nombre del proceso,Inscripción,Fecha de Convocatoria,Tipo Cotización
"Hospital Nacional de Niños ""Benjamín Bloom"", San Salvador",20200512  Libre gestión,ELECTRODO DE ESTUIMULACION CARDIACA TEMPORAL EN SOBRE INDIVIDUAL,Vigente,09/04/2020,Presencial
"Hospital Nacional ""Dr. Héctor Antonio Hernández Flores"", San Francisco Gotera, Morazán",20200030  Libre gestión,SERVICIO DE MANTENIMIENTO PREVENTIVO DE IMPRESOR,Vigente,09/04/2020,Presencial
"Hospital Nacional Psiquiátrico ""Dr. José Molina Martínez"", Soyapango, San Salvador",20200092  Libre gestión,SANITIZANTE CONCENTRADO A BASE DE AMONIO CUATERNARIO (ANEXAR HOJA DE SEGURIDAD) VER DETALLE EN ARCHIVO ANEXO,Vigente,09/04/2020,Presencial
"Hospital Nacional Psiquiátrico ""Dr. José Molina Martínez"", Soyapango, San Salvador",20200091  Libre gestión,DISCOS PARA CORTADORA DE GASA (VER DETALLE EN ARCHIVO ANEXO),Vigente,09/04/2020,Presencial
"Hospital Nacional de Niños ""Benjamín Bloom"", San Salvador",20200510  Libre gestión,AGUJAS DESCARTABLES 18 X 1/2 EMPAQUE INDIVIDUAL ESTERIL Y CERRA PARA HUESO SOBRE,Vigente,09/04/2020,Presencial
"Hospital Nacional de Niños ""Benjamín Bloom"", San Salvador",20200509  Libre gestión,TUBO DE IRRIGACION Y ASPIRACION SUPERFICIE MATE CON ORIFICIOS CON LLAVE DE DOS VIAS PARA MANEJO CON UNA MANO DIAMETRO 5 MM Y OTROS,Vigente,09/04/2020,Presencial
"Hospital Nacional ""San Juan de Dios"", San Miguel",20200173  Libre gestión,"AIRE ACONDICIONADO MINI SPLIT DE 5 TONELADAS 60,000 BTU TRIFÁSICO.",Vigente,09/04/2020,Presencial
"Hospital Nacional ""San Juan de Dios"", San Miguel",20200172  Libre gestión,ASIENTO PLÁSTICO COLOR BLANCO PARA SANITARIO STANDAR (ELONGADO),No Vigente,09/04/2020,Presencial
Policía Nacional Civil (PNC),20200086  Libre gestión,500	GALONES DE ALCOHOL ETILICO DE 90 GRADOS 	Fecha límite de recepción de oferta: 13/04/2020,Vigente,09/04/2020,Presencial
"Hospital Nacional "" Francisco Menéndez"", Ahuachapán",20200041  Libre gestión,TELAS HOSPITALARIAS,Vigente,09/04/2020,Presencial
"Hospital Nacional de Niños ""Benjamín Bloom"", San Salvador",20200515  Libre gestión,HOJAS DE OSTIOTOMIA PARA USAR EN CIRUGIA ORTOPEDICA CON SISTEMA DE CUBIERTO DE SIERRA Y OTROS,Vigente,09/04/2020,Presencial
"Hospital Nacional de Niños ""Benjamín Bloom"", San Salvador",20200511  Libre gestión,TUBOS CON HEPARINA SODICA CAPACIDAD 3-4 MILILITROS,Vigente,09/04/2020,Presencial
"Hospital Nacional Rosales, San Salvador",CD-02/2020  Contratación directa,SUMINISTRO DE MEDICAMENTOS VARIOS-2020,Vigente,09/04/2020,Presencial
Municipalidad de San Salvador,20200772  Libre gestión,2000 almuerzos y 2000 cenas para personal que trabaja para la pandemia del coronavirus. Menú completo. Favor remitir cotización al correo dhmartinez@sansalvador.gob.sv,No Vigente,09/04/2020,Presencial
"Hospital Nacional de Niños ""Benjamín Bloom"", San Salvador",20200521  Libre gestión,SEDA NEGRA TRENZADA 4-0 CON AGUJA REVERSO CORTANTE TRIANGULAR 19 MM Y 3/8 DE CIRCULO LONGITUD 45 CM.,Vigente,09/04/2020,Presencial
Ministerio de Gobernación (MIGOB),20200060  Libre gestión,"ADQUISICIÓN DE INSUMOS QUIMICOS Y MATERIALES PARA EL AREA DE PRODUCCIÓN DE LA IMPRENTA NACIONAL, DEPENDENCIA DEL MINISTERIO DE GOBERNACIÓN Y DESARROLLO TERRITORIAL",Vigente,09/04/2020,Presencial
Ministerio de Gobernación (MIGOB),20200059  Libre gestión,ADQUISICIÓN E INSTALACIÓN DE RELOJ BIOMÉTRICO Y SISTEMA DE CONTROL DE ACCESO PARA LA DIRECCIÓN GENERAL DE CORREOS DE EL SALVADOR,Vigente,09/04/2020,Presencial
Ministerio de Gobernación (MIGOB),20200058  Libre gestión,ADQUISICIÓN DE DRONES PARA LA DIRECCIÓN DE PARTICIPACIÓN SOCIAL Y LA DIRECCIÓN DE RECONSTRUCCIÓN DEL TEJIDO SOCIAL,Vigente,09/04/2020,Presencial
Policía Nacional Civil (PNC),20200088  Libre gestión,"1	CAMA MATRIMONIAL DE 1.40 *Especificaciones técnicas: ¿	Cama completa, base y colchón, ergonómica, con soporte ortopédico, resortes especiales que eviten que se deforme, ancho de 1.40 mts y de 1.90 mts de largo, con dos almohadas, fundas, cubrecama y sabana. Fecha límite de recepción de oferta: 14/04/2020",Vigente,09/04/2020,Presencial
Policía Nacional Civil (PNC),20200087  Libre gestión,"1	CAMA MATRIMONIAL DE 1.40 MTS SEMI ERGONOMICA *Especificaciones técnicas: ¿	Espuma suave y de alta calidad, que ayude al flujo de aire y brinde mayor durabilidad del colchón, con bordes recubiertos de espuma para mayor apoyo, con espuma que proporcione alivio de presión y permita libertad de movimiento, de máxima calidad, que incluya una fibra debajo de la tela especial para alejar el calor de la superficie del colchón, que incluya cama completa base y colchón. 	Fecha límite de recepción de oferta: 14/04/2020",Vigente,09/04/2020,Presencial
"Hospital Nacional de Niños ""Benjamín Bloom"", San Salvador",20200522  Libre gestión,CATCUT CROMICO 0 CON AGUJA BP -1 1/2 CIRCULO 65 MM 70CM (PARA SUTURA DE HIGADO),Vigente,09/04/2020,Presencial
"Hospital Nacional de Niños ""Benjamín Bloom"", San Salvador",20200519  Libre gestión,SONDAS DE DRENAJE URINARIO DE 6 FR. TIPO FOLEY 2 VIAS ADAPTABLE LUER LOCK Y SONDAS NELATON DE 6 FR.,Vigente,09/04/2020,Presencial
"Hospital Nacional de Niños ""Benjamín Bloom"", San Salvador",20200518  Libre gestión,MECHA DE ALGODON IMPREGNADO CON ESTEL DE ACIDO GRASO DERIVADO DE CLORURO DE DIALQUIL CAJA POR 10 PIEZAS,Vigente,09/04/2020,Presencial
"Hospital Nacional de Niños ""Benjamín Bloom"", San Salvador",20200516  Libre gestión,CUBIERTA REUSABLE PROTEGER TALADRO QUIRURUGICO PARA USO OPERACIONES DE ORTOPEDIA Y OTROS,Vigente,09/04/2020,Presencial
"Hospital Nacional de Niños ""Benjamín Bloom"", San Salvador",20200514  Libre gestión,PAPAINA EN SOLUCION PARA PAPINIZAR HEMATIES FRASCO 10 MILILITROS FGRAMOS Y OTROS,Vigente,09/04/2020,Presencial
Ministerio de Desarrollo Local,20200009  Libre gestión,LG-20/2020-MINDEL CONTRATACIÓN DEL SERVICIO DE VIGILANCIA PRIVADA PARA BODEGAS DE LA DIVISIÓN DE ASISTENCIA ALIMENTARIA DE ZAPOTITAN Y SAN MIGUEL DEL MINISTERIO DE DESARROLLO LOCAL,Vigente,09/04/2020,Presencial
Oficina de Planificación del área metropolitana de San Salvador (OPAMSS),20200063  Libre gestión,SUMINISTRO DE CANASTAS BÁSICAS SOLIDARIAS PARA LOS 14 MUNICIPIOS DEL AMSS EN EL MARCO DE LA EMERGENCIA POR COVID 19,Vigente,09/04/2020,Presencial
"Hospital Nacional Psiquiátrico ""Dr. José Molina Martínez"", Soyapango, San Salvador",20200090  Libre gestión,INSUMOS PARA IMPRESORA DE AUTOCLAVE,Vigente,09/04/2020,Presencial
"Hospital Nacional de Niños ""Benjamín Bloom"", San Salvador",20200508  Libre gestión,INSPIROMETRO DE INCENTIVO PARA TERAPIA RESPIRATORIA CAPACIDAD 2000-2500 ML. Y OTROS,Vigente,09/04/2020,Presencial
"Hospital Nacional ""San Juan de Dios"", San Miguel",20200171  Libre gestión,"BOMBA ROCIADORA (20 LITROS), CORTINAS PLÁSTICAS PARA BAÑO.",No Vigente,09/04/2020,Presencial
"Hospital Nacional ""Dr. Héctor Antonio Hernández Flores"", San Francisco Gotera, Morazán",20200032  Libre gestión,INSUMOS MEDICOS,Vigente,08/04/2020,Presencial
"Hospital Nacional Rosales, San Salvador",20200054  Libre gestión,EQUIPO Y ACCESORIOS PARA RED DE GASES MEDICOS.,No Vigente,08/04/2020,Presencial
Ministerio de Hacienda (MHDA),20200198  Libre gestión,SUMINISTRO DE TRANSFORMADOR PADMOUNTED PARA EL MINISTERIO DE HACIENDA.,No Vigente,08/04/2020,Presencial
Policía Nacional Civil (PNC),20200083  Libre gestión,"1,000	GALONES DE ALCOHOL EN GEL 	FECHA LIMITE DE RECEPCION DE OFERTA: 13/04/2020",Vigente,08/04/2020,Presencial
Policía Nacional Civil (PNC),20200082  Libre gestión,"20,001 Folder manila tamaño carta  7,142	Folder manila tamaño oficio 10	Plumones permanentes #90 en color rojo 10	Plumones permanentes #90 en color negro 12	Plumones permanentes #90 en color azul 52	Plumones tipo marcador #660 en color verde fluorecente 100	Perforadores metálicos de 2 orificios con capacidad para perforar minimo de 20 hojas 100	Cajas de fasteners metálicos de 8 cms 250	Cinta adhesiva de ¾¿, adhesivo base solvente de 18mm de 27 a 36 mts y/o yardas 200	Rollos de tirro de ¾¿ de 27 a 36 mts y/o yardas 	Fecha límite de Recepción de Oferta: 13 de abril 2020,",Vigente,08/04/2020,Presencial
Policía Nacional Civil (PNC),20200080  Libre gestión,"2,000 GALONES DE LEJÍA AL 7% DE CONCENTRACIÓN",Vigente,08/04/2020,Presencial
Policía Nacional Civil (PNC),20200078  Libre gestión,"920. COLCHONETAS, SEGÚN ESPECIFICACIONES TÉCNICAS ADJUNTAS",Vigente,08/04/2020,Presencial
Policía Nacional Civil (PNC),20200076  Libre gestión,"50 Botes de 5 kg de Desinfectante de Amplio Espectro Tipo Virkon ¿	El cual funciona para desinfectar instalaciones, transporte y personal Fecha límite de Recepción de Oferta: 13 de abril 2020",Vigente,08/04/2020,Presencial
"Hospital Nacional ""San Juan de Dios"", San Miguel",20200169  Libre gestión,VÁLVULAS Y SENSORES DE CONTROL DE OXIGENO Y AIRE PARA VENTILADORES MECÁNICOS.,No Vigente,08/04/2020,Presencial
"Hospital Nacional de Niños ""Benjamín Bloom"", San Salvador",20200506  Libre gestión,CONTOMETRO DE ESCRITORIO TAMAÑO MEDIANO,Vigente,08/04/2020,Presencial
"Hospital Nacional ""San Juan de Dios"", San Miguel",20200168  Libre gestión,"Valvula termostática (Marca: Danfoss, Sporlan, Emerson, etc) para R-404 A a soldar, con los siguientes elementos: Cartucho Q C-1 amarillo R-22 = ½ ¿ ¾ R-404 A= ¼ Sporlan Elemento para válvula de expansión KT-43 SC/PC 5.R 502/R 404 A Alta Sporlan. Compresor (Marca: Danfoss, Tecumsenh, etc) de ½ HP a 115 V 1 PH 60 HZ (temperatura media) arranque con capacitor para R-404 A Filtro secador a soldar de ¼ (EK-052-S, Emerson)",No Vigente,08/04/2020,Presencial
"Hospital Nacional de Niños ""Benjamín Bloom"", San Salvador",20200502  Libre gestión,CHALECOS CON LINEAS SILBATOS ROLLOS DE CINTA PLASTICA COLOR AMARILLO,Vigente,08/04/2020,Presencial
"Hospital Nacional ""San Juan de Dios"", San Miguel",20200167  Libre gestión,"LOCKER DE 4 COMPARTIMIENTOS CADA UNO C/LLAVE, CAMAROTES DE 2 NIVELES CON COLCHONES.",Vigente,08/04/2020,Presencial
"Hospital Nacional de Niños ""Benjamín Bloom"", San Salvador",20200501  Libre gestión,PAPEL PARA ELECTROCARDIOGRAMA CUADRADO,Vigente,08/04/2020,Presencial
"Hospital Nacional ""Dr. Jorge Mazzini Villacorta"", Sonsonate",20200068  Libre gestión,"R/ 1 CÓDIGO: 81201015 SERVICIO DE MANTENIMIENTO PREVENTIVO Y CORRECTIVO DE VEHÍCULO AMBULANCIA PLACA N - 8756,",No Vigente,08/04/2020,Presencial
"Hospital Nacional ""San Juan de Dios"", San Miguel",20200166  Libre gestión,"Repuestos para ventiladores mecánicos MAGNAMED, NEWPORT, DRAGER, FLIGHT. Ver archivo adjunto",No Vigente,08/04/2020,Presencial
Policía Nacional Civil (PNC),20200081  Libre gestión,"1,050 BOLSAS DE DETERGENTE EN POLVO DE 1,500 GRAMOS",Vigente,08/04/2020,Presencial
Policía Nacional Civil (PNC),20200079  Libre gestión,400	PAQUETES DE BOLSAS PLASTICAS TIPO JARDIN (PAQUETE DE 5 UNIDADES) 	FECHA LIMITE DE RECEPCION DE OFERTA: 13/04/2020,Vigente,08/04/2020,Presencial
Policía Nacional Civil (PNC),20200077  Libre gestión,60 BOMBAS FUMIGADORAS TIPO MOCHILA DE 20 LITROS Especificaciones técnicas: ¿	Para uso agrícola ¿	20 litros ¿	Que incluya 2 boquillas intercambiables una de cono y una tipo abanico ¿	Presentar imágenes de producto a ofertar. 	Fecha límite de Recepción de Oferta: 13 de abril 2020,Vigente,08/04/2020,Presencial
"Hospital Nacional de Niños ""Benjamín Bloom"", San Salvador",20200507  Libre gestión,BANQUITOS METALICOS GIRATORIOS,Vigente,08/04/2020,Presencial
"Hospital Nacional de Niños ""Benjamín Bloom"", San Salvador",20200505  Libre gestión,"PILAS TIPO ""C"" ALCALINAS",Vigente,08/04/2020,Presencial
"Hospital Nacional de Niños ""Benjamín Bloom"", San Salvador",20200504  Libre gestión,RELOJES ELECTRONICOS GRANDES PARA QUIROFANOS RELOJES GRANDES DE BATERIA,Vigente,08/04/2020,Presencial
"Hospital Nacional ""Dr. Jorge Mazzini Villacorta"", Sonsonate",20200069  Libre gestión,R/ 1 CÓDIGO: 81201015 SERVICIO DE MANTENIMIENTO PREVENTIVO Y CORRECTIVO DE VEHÍCULO AMBULANCIA N- 9966,No Vigente,08/04/2020,Presencial
"Hospital Nacional de Niños ""Benjamín Bloom"", San Salvador",20200503  Libre gestión,LENTES PLASTICOS PROTECTORES,Vigente,08/04/2020,Presencial
"Hospital Nacional Psiquiátrico ""Dr. José Molina Martínez"", Soyapango, San Salvador",20200089  Libre gestión,SERVICIO DE SUMINISTRO E INSTALACION DE AIRE ACONDICIONADO (SE ANEXAN MAS DETALLES EN SOLICITUD E COMPRA),Vigente,08/04/2020,Presencial
Ministerio del Medio Ambiente y Recursos Naturales (MARN),20200080  Libre gestión,SERVICIO DE IMPRESIÓN DE 11 BANNERS FULL COLOR IMPRESOS EN LONAMEDIDA: 3.00X1.50MTScon 4 ojetes.Se anexa arte;,No Vigente,08/04/2020,Presencial
Policía Nacional Civil (PNC),20200084  Libre gestión,196 SILLAS PLASCTICAS. Elaboradas en plástico de alta resistencia al peso y uso. Adjuntar imagen. FECHA Y HORA LÍMITE PARA PRESENTAR OFERTA: Martes 14 de abril de 2020.,Vigente,08/04/2020,Presencial
Policía Nacional Civil (PNC),20200085  Libre gestión,"1,000	JABON DE BARRA TIPO NEUTRAL DE 200 GRAMOS PARA MANOS 	FECHA LIMITE DE RECEPCION DE OFERTA: 13/04/2020",Vigente,08/04/2020,Presencial
Ministerio de Gobernación (MIGOB),20200055  Libre gestión,"ADQUISICIÓN DE TABLETS, TECLADOS Y LÁPICES ELECTRÓNICOS PARA LA DIRECCIÓN DE PARTICIPACIÓN SOCIAL Y LA DIRECCIÓN DE RECONSTRUCCIÓN DEL TEJIDO SOCIAL",Vigente,07/04/2020,Presencial
Municipalidad de San Miguel,20200020  Libre gestión,Contratación Directa 03/2020AMSM ¿CONTRATACION DE SEGUROS DE PERSONAS Y BIENES DE LA ALCALDIA MUNICIPAL DE SAN MIGUEL PARA EL PERIODO DE MAYO A DICIEMBRE DE 2020¿,No Vigente,07/04/2020,Presencial
"Hospital Nacional ""Dr. Jorge Arturo Mena"", Santiago de María, Usulután",20200031  Libre gestión,"COMPRA DE PROTECTOR FACIAL TRASLUCIDO AUTOAJUSTABLE,",Vigente,07/04/2020,Presencial
"Hospital Nacional ""San Juan de Dios"", San Miguel",20200163  Libre gestión,"COMPRA DE JABÓN LIQUIDO, GALÓN. (VER ARCHIVO ADJUNTO).",Vigente,07/04/2020,Presencial
Municipalidad de San Miguel,20200014  Libre gestión,"Contratación Directa 02/2020AMSM ¿SERVICIO DE RECOLECCION Y TRANSPORTE DE DESECHOS SOLIDOS HASTA EL SITIO DE DISPOSICION FINAL EN LA CIUDAD DE SAN MIGUEL, PERIODO DE MAYO A DICIEMBRE DEL AÑO DOS MIL VEINTE¿",No Vigente,07/04/2020,Presencial
Municipalidad de San Miguel,20200013  Libre gestión,"SERVICIOS PROFESIONALES DE TECNICO EN EL AREA DE PROTECCION CIVIL, PARA QUE EJERZA EL CARGO DE COLABORADOR A TIEMPO PARCIAL, DE LUNES A VIERNES EN JORNADAS DE SERVICIO DE 4 HORAS DIARIAS Y EN TIEMPO EXTRAORDINARIO DEBERA ESTAR DISPONIBLE PARA ATENDER EMERGENCIAS,en el periodo comprendido del 01 de mayo de 2020 al 31 de diciembre de 2020.",No Vigente,07/04/2020,Presencial
Municipalidad de San Miguel,20200011  Libre gestión,"SERVICIO VIRTUALIZADO DE WEB HOSTING DE 100 GB Y CUENTAS DE CORREO CORPORATIVO ILIMITADAS, PARA PONER EN LINEA LA PAGINA WEB DE LA ALCALDIA MUNICIPAL DE SAN MIGUEL, Y LOS DIFERENTES SERVICIOS QUE OFRECEN A LA CIUDADANIA ON LINE, el periodo comprendido del 01 de mayo de 2020 al 31 de diciembre de 2020.",No Vigente,07/04/2020,Presencial
"Hospital Nacional ""San Juan de Dios"", San Miguel",20200161  Libre gestión,COMPRA DE BOLSA PLÁSTICA DE VINILO NEGRO CON LAMINAS DE 5 MILÍMETROS. VER ARCHIVO ADJUNTO.,Vigente,07/04/2020,Presencial
Ministerio de Hacienda (MHDA),20200197  Libre gestión,100 galones de legía para uso de satanización preventivo por la emergencia del Covid-19.,No Vigente,07/04/2020,Presencial
"Hospital Nacional ""San Juan de Dios"", San Miguel",20200160  Libre gestión,"COMPRA DE PRODUCTOS QUÍMICOS, MATERIAL E INSTRUMENTAL DE LABORATORIO.(2da PUBLICACIÓN, VER ARCHIVO ADJUNTO).",Vigente,07/04/2020,Presencial
"Hospital Nacional Rosales, San Salvador",20200052  Libre gestión,"R1.ACIDO NITRICO, NUMERO DE CAS 7697-37-2, PARA ANALISIS ESPECTROFOTOMETRICO, FRASCO (4-5) LITROS. R2.ALCOHOL METILICO O METANOL ABSOLUTO  ( CH3OH) GRADO REACTIVO ACS, (FRASCO 4-5) LITROS VER ANEXO",Vigente,07/04/2020,Presencial
"Hospital Nacional Psiquiátrico ""Dr. José Molina Martínez"", Soyapango, San Salvador",20200088  Libre gestión,"GABACHONES HOSPITALARIOS DESCARTABLES, EMPAQUE INDIVIDUAL, ESTERIL, TALLA M.",No Vigente,07/04/2020,Presencial
Municipalidad de San Miguel,20200018  Libre gestión,"la contratación del SERVICIO DE ARRENDAMIENTO Y REPETICION TRONCALIZADO DE 75 RADIOS DE COMUNICACIÓN, PARA EL PERSONAL DEL CUERPO DE AGENTES MUNICIPALES, en el periodo comprendido del 01 de mayo de 2020 al 31 de diciembre de 2020.",No Vigente,07/04/2020,Presencial
"Hospital Nacional ""San Juan de Dios"", San Miguel",20200162  Libre gestión,MATERIALES ELÉCTRICOS VARIOS,No Vigente,07/04/2020,Presencial
Ministerio de Gobernación (MIGOB),20200056  Libre gestión,ADQUISICIÓN DE EQUIPO Y ACCESORIOS INFORMÁTICOS PARA LA DIRECCIÓN DE PARTICIPACIÓN SOCIAL Y LA DIRECCIÓN DE RECONSTRUCCIÓN DEL TEJIDO SOCIAL,Vigente,07/04/2020,Presencial
Municipalidad de San Miguel,20200019  Libre gestión,"contratación del SERVICIO DE TV CABLE DIGITAL EN EL PALACIO MUNICIPAL, INTERNET TV/ SEÑAL PARA CABLE DIGITAL, LINEA FIJA PYME ILIMITADA Y TV ANALOGO EN LA UNIDAD DE COMUNICACIONES Y PRENSA; INTERNET TV/ CORPORATIVO DIGITAL/ANALOGO, LINEA FIJA PYME EN LA SECRETARIA MUNICIPAL DE LA FAMILIA SECCION NIÑEZ, en el periodo comprendido del 01 de mayo de 2020 al 31 de diciembre de 2020.",No Vigente,07/04/2020,Presencial
Policía Nacional Civil (PNC),20200075  Libre gestión,"09	RECEPTACULOS DE BAQUELITA 09	CAJAS OCTAGONALES METALICAS 06	LAMPARAS LED 2 X 18 20	FOCOS AHORRATIVOS DE 15 AMP 03	LAMPARAS COMPLETAS PARA EMPOTRAR 4 X 32W 05 INTERRUPTORES SENCILLOS 02	INTERRUPTORES DOBLES 03	INTERRUPTORES TRIPLES 15	CANALETAS PLASTICAS TIPO LEGRAND DE 12 X 20 02	LIBRAS DE ALAMBRE GALVANIZADO # 16 10	BOLSAS DE DETERGENTE DE 1500 GRAMOS 10	GALONES DE DESINFECTANTE PARA PISO 10	GALONES DE LEJIA 10	GALONES DE ACIDO LIMPIADOR PARA BAÑOS 02	PAQUETES DE BOLSAS PLASTICAS JARDINERAS (DE 10 UNIDADES) 04	ESCOBAS PLASICAS MEDIANAS 04	REPUESTOS PARA TRAPEADORES 05	JUEGOS DE GUANTES DE HULE, MASCARILLA Y LENTES PARA LIMPIEZA 	FECHA LIMITE DE RECEPCION DE OFERTA: 14/04/2020",Vigente,07/04/2020,Presencial
Municipalidad de San Miguel,20200016  Libre gestión,"Contratación Directa 04/2020AMSM ""SUMINISTRO DE COMBUSTIBLE Y LUBRICANTES PARA LA ALCALDIA MUNICIPAL DE SAN MIGUEL, PERIODO DE MAYO A DICIEMBRE DE 2020""",No Vigente,07/04/2020,Presencial
